file	line	section	value	status	guarded_by	model_dep	hint	context
DECISIONS.md	22	-	0.946	ORPHAN		y		| 2026-08-08 | **A candidate filter can leak even when the feature is rejected.** A filter on a random-walk fe
DECISIONS.md	22	-	0.43	ORPHAN		y		| 2026-08-08 | **A candidate filter can leak even when the feature is rejected.** A filter on a random-walk fe
DECISIONS.md	24	-	0.704	ORPHAN				| 2026-08-09 | **Granularity: split by family, report by disease** (§3.3). Family aggregation lifts the weakes
DECISIONS.md	24	-	0.907	ORPHAN				| 2026-08-09 | **Granularity: split by family, report by disease** (§3.3). Family aggregation lifts the weakes
DECISIONS.md	28	-	11,187	ORPHAN				| 2026-08-10 | **Metapaths implemented as matrix code, not graph queries** (§4.3) — the query engine exhausted
DECISIONS.md	30	-	0.5000	ORPHAN				| 2026-08-10 | **Priorities inverted by results**: the priority-1 binary flag scored exactly 0.5000 and was re
DECISIONS.md	31	-	92.2	ORPHAN		y		| 2026-08-11 | **Druggability annotation added** (§8.5) — curated source primary, in-graph annotation as gap-f
DECISIONS.md	32	-	32.5	ORPHAN				| 2026-08-11 | **Candidate list extended to top-50.** Known-target density falls monotonically 65% → 32.5%, ev
DECISIONS.md	33	-	1.04	ORPHAN				| 2026-08-11 | **The candidate-pool restriction NOT expanded to the functional metapaths.** Measured: it would
DECISIONS.md	35	-	0.097	ORPHAN		y		| 2026-08-13 | **Drug-validated targets adopted as a mandatory second metric** (§7.4), not as a training objec
DECISIONS.md	37	-	0.6836	ORPHAN		y		| 2026-08-14 | **Training on the drug label tested and rejected — a documented negative result** (§7.5). Drug-
DECISIONS.md	37	-	0.9324	ORPHAN		y		| 2026-08-14 | **Training on the drug label tested and rejected — a documented negative result** (§7.5). Drug-
DECISIONS.md	37	-	0.8228	ORPHAN		y		| 2026-08-14 | **Training on the drug label tested and rejected — a documented negative result** (§7.5). Drug-
DECISIONS.md	37	-	0.6444	ORPHAN		y		| 2026-08-14 | **Training on the drug label tested and rejected — a documented negative result** (§7.5). Drug-
DECISIONS.md	38	-	0.9354	ORPHAN		y		| 2026-08-14 | **The drug-target benchmark is itself a gene-popularity shortcut** — the finding that reframes 
DECISIONS.md	38	-	0.6836	ORPHAN		y		| 2026-08-14 | **The drug-target benchmark is itself a gene-popularity shortcut** — the finding that reframes 
DECISIONS.md	42	-	0.02	ORPHAN		y		| 2026-08-17 | **Retrain tolerance widened to ±0.02** on macro per-disease AUC. The remap reshuffles 58.8% of 
DECISIONS.md	42	-	58.8	ORPHAN		y		| 2026-08-17 | **Retrain tolerance widened to ±0.02** on macro per-disease AUC. The remap reshuffles 58.8% of 
DECISIONS.md	42	-	0.0049	ORPHAN		y		| 2026-08-17 | **Retrain tolerance widened to ±0.02** on macro per-disease AUC. The remap reshuffles 58.8% of 
DECISIONS.md	43	-	0.8197	ORPHAN		y		| 2026-08-17 | **Rebuilt end to end on the shared graph — reconstruction CONFIRMED** (§10.1). Champion macro p
DECISIONS.md	43	-	0.8228	ORPHAN		y		| 2026-08-17 | **Rebuilt end to end on the shared graph — reconstruction CONFIRMED** (§10.1). Champion macro p
DECISIONS.md	43	-	0.01	ORPHAN		y		| 2026-08-17 | **Rebuilt end to end on the shared graph — reconstruction CONFIRMED** (§10.1). Champion macro p
DECISIONS.md	43	-	6,754,128	VALUE_ONLY	nb2_splitting_and_pool.py:5.2 pool rows	y		| 2026-08-17 | **Rebuilt end to end on the shared graph — reconstruction CONFIRMED** (§10.1). Champion macro p
DECISIONS.md	43	-	18.8	ORPHAN		y		| 2026-08-17 | **Rebuilt end to end on the shared graph — reconstruction CONFIRMED** (§10.1). Champion macro p
DECISIONS.md	43	-	0.002	VALUE_ONLY	nb3_validation_and_plots.py:7.4 orthogonality pearson r	y		| 2026-08-17 | **Rebuilt end to end on the shared graph — reconstruction CONFIRMED** (§10.1). Champion macro p
DECISIONS.md	46	-	99.7	ORPHAN		y		| 2026-08-17 | **Per-family tables reclassified as a view of the validation sample, not a property of the grap
DECISIONS.md	47	-	0.78	ORPHAN		y	hist	| 2026-08-17 | **Druggability / target class REJECTED as a model input** (§10.2) — and not for the reason prev
DECISIONS.md	47	-	3.16	ORPHAN		y	hist	| 2026-08-17 | **Druggability / target class REJECTED as a model input** (§10.2) — and not for the reason prev
DECISIONS.md	47	-	0.98	ORPHAN		y	hist	| 2026-08-17 | **Druggability / target class REJECTED as a model input** (§10.2) — and not for the reason prev
DECISIONS.md	49	-	1.37	ORPHAN		y	hist	| 2026-08-17 | **Safety/toxicity: the lift gate REFUTED the stated prediction and blocked the filter** (§10.2)
DECISIONS.md	49	-	0.62	ORPHAN		y	hist	| 2026-08-17 | **Safety/toxicity: the lift gate REFUTED the stated prediction and blocked the filter** (§10.2)
DECISIONS.md	49	-	4.62	ORPHAN		y	hist	| 2026-08-17 | **Safety/toxicity: the lift gate REFUTED the stated prediction and blocked the filter** (§10.2)
DECISIONS.md	51	-	63,020	ORPHAN		y	hist	| 2026-08-17 | **Deliverable changed from pre-cut to filterable** — the top-50 truncation replaced by a Window
DECISIONS.md	51	-	76,465	ORPHAN		y	hist	| 2026-08-17 | **Deliverable changed from pre-cut to filterable** — the top-50 truncation replaced by a Window
DECISIONS.md	52	-	1.42	ORPHAN		y	hist	| 2026-08-17 | **Filter validated per persona** (§8.6; measured in `filtered_shortlist_eval`, since deleted an
DECISIONS.md	52	-	1.71	ORPHAN		y	hist	| 2026-08-17 | **Filter validated per persona** (§8.6; measured in `filtered_shortlist_eval`, since deleted an
DECISIONS.md	52	-	0.54	ORPHAN		y	hist	| 2026-08-17 | **Filter validated per persona** (§8.6; measured in `filtered_shortlist_eval`, since deleted an
DECISIONS.md	55	-	1,802	ORPHAN		y		| 2026-08-17 | **DISCOVERY adopted as a third reported axis** (§8.1, §8.3, `novel_discovery_eval`). Ranking pr
DECISIONS.md	56	-	4,110	ORPHAN				| 2026-08-17 | **Both ground truths reported, never one.** `indication` (4,110 pairs, approved) is strict; `dr
DECISIONS.md	56	-	52,734	ORPHAN				| 2026-08-17 | **Both ground truths reported, never one.** `indication` (4,110 pairs, approved) is strict; `dr
DECISIONS.md	56	-	6.8	ORPHAN				| 2026-08-17 | **Both ground truths reported, never one.** `indication` (4,110 pairs, approved) is strict; `dr
DECISIONS.md	57	-	2.9	ORPHAN		y		| 2026-08-17 | **CORRECTION — the persona criterion was inverted, and it changed a recommendation** (§8.7). "S
DECISIONS.md	59	-	82.2	ORPHAN				| 2026-08-17 | **The drug ground truth is an INFERRED pair, and it needed a sensitivity analysis** (§8.1, §8.3
DECISIONS.md	59	-	66.3	ORPHAN				| 2026-08-17 | **The drug ground truth is an INFERRED pair, and it needed a sensitivity analysis** (§8.1, §8.3
DECISIONS.md	59	-	8.0	VALUE_ONLY	nb4_results_three_axes.py:8.10 TNBC known targets			| 2026-08-17 | **The drug ground truth is an INFERRED pair, and it needed a sensitivity analysis** (§8.1, §8.3
DECISIONS.md	60	-	11.40	ORPHAN		y		| 2026-08-17 | **First reading — WRONG, and withdrawn the same day.** Restricting to single-target drugs dropp
DECISIONS.md	60	-	0.00	VALUE_ONLY	nb2_splitting_and_pool.py:5.4 	y		| 2026-08-17 | **First reading — WRONG, and withdrawn the same day.** Restricting to single-target drugs dropp
DECISIONS.md	60	-	0.20	ORPHAN		y		| 2026-08-17 | **First reading — WRONG, and withdrawn the same day.** Restricting to single-target drugs dropp
DECISIONS.md	61	-	107,593	VALUE_ONLY	nb4_results_three_axes.py:8.1 raw known_drug rows	y		| 2026-08-18 | **Second reading — settled, using a curated label.** Extracted Open Targets' **`known_drug`** d
DECISIONS.md	61	-	67,748	VALUE_ONLY	nb4_results_three_axes.py:8.1 resolving onto graph	y		| 2026-08-18 | **Second reading — settled, using a curated label.** Extracted Open Targets' **`known_drug`** d
DECISIONS.md	61	-	74.9	ORPHAN		y		| 2026-08-18 | **Second reading — settled, using a curated label.** Extracted Open Targets' **`known_drug`** d
DECISIONS.md	61	-	1,173	ORPHAN		y		| 2026-08-18 | **Second reading — settled, using a curated label.** Extracted Open Targets' **`known_drug`** d
DECISIONS.md	61	-	17.65	ORPHAN		y		| 2026-08-18 | **Second reading — settled, using a curated label.** Extracted Open Targets' **`known_drug`** d
DECISIONS.md	61	-	11.40	ORPHAN		y		| 2026-08-18 | **Second reading — settled, using a curated label.** Extracted Open Targets' **`known_drug`** d
DECISIONS.md	61	-	17.7	ORPHAN		y		| 2026-08-18 | **Second reading — settled, using a curated label.** Extracted Open Targets' **`known_drug`** d
DECISIONS.md	61	-	4.8	ORPHAN		y		| 2026-08-18 | **Second reading — settled, using a curated label.** Extracted Open Targets' **`known_drug`** d
DECISIONS.md	62	-	0.1253	ORPHAN		y	hist	| 2026-08-18 | **Validation overhaul COMPLETE — the filter re-evaluated on all three axes** (§8.6, `compute_fi
DECISIONS.md	62	-	0.0007	ORPHAN		y	hist	| 2026-08-18 | **Validation overhaul COMPLETE — the filter re-evaluated on all three axes** (§8.6, `compute_fi
DECISIONS.md	62	-	1.60	ORPHAN		y	hist	| 2026-08-18 | **Validation overhaul COMPLETE — the filter re-evaluated on all three axes** (§8.6, `compute_fi
DECISIONS.md	62	-	99.5	ORPHAN		y	hist	| 2026-08-18 | **Validation overhaul COMPLETE — the filter re-evaluated on all three axes** (§8.6, `compute_fi
DECISIONS.md	62	-	1.61	ORPHAN		y	hist	| 2026-08-18 | **Validation overhaul COMPLETE — the filter re-evaluated on all three axes** (§8.6, `compute_fi
DECISIONS.md	62	-	72.6	ORPHAN		y	hist	| 2026-08-18 | **Validation overhaul COMPLETE — the filter re-evaluated on all three axes** (§8.6, `compute_fi
DECISIONS.md	63	-	0.110	ORPHAN		y	hist	| 2026-08-18 | **CORRECTION — the metabolic/oncology split is not a class property** (§8.2, `compute_maturity_
DECISIONS.md	63	-	41.59	ORPHAN		y	hist	| 2026-08-18 | **CORRECTION — the metabolic/oncology split is not a class property** (§8.2, `compute_maturity_
DECISIONS.md	63	-	41.21	ORPHAN		y	hist	| 2026-08-18 | **CORRECTION — the metabolic/oncology split is not a class property** (§8.2, `compute_maturity_
DECISIONS.md	63	-	0.00	VALUE_ONLY	nb2_splitting_and_pool.py:5.4 	y	hist	| 2026-08-18 | **CORRECTION — the metabolic/oncology split is not a class property** (§8.2, `compute_maturity_
DECISIONS.md	65	-	1,109	ORPHAN		y		| 2026-08-18 | **TRACTABILITY adopted as a third evaluation axis, and it is now the most robust positive claim
DECISIONS.md	65	-	20,861	ORPHAN		y		| 2026-08-18 | **TRACTABILITY adopted as a third evaluation axis, and it is now the most robust positive claim
DECISIONS.md	65	-	2.38	ORPHAN		y		| 2026-08-18 | **TRACTABILITY adopted as a third evaluation axis, and it is now the most robust positive claim
DECISIONS.md	65	-	3.06	ORPHAN		y		| 2026-08-18 | **TRACTABILITY adopted as a third evaluation axis, and it is now the most robust positive claim
DECISIONS.md	66	-	0.93	ORPHAN		y	hist	| 2026-08-18 | **CORRECTION — the ligand-vs-receptor failure does NOT generalise, and I had been repeating tha
DECISIONS.md	66	-	3.78	ORPHAN		y	hist	| 2026-08-18 | **CORRECTION — the ligand-vs-receptor failure does NOT generalise, and I had been repeating tha
DECISIONS.md	66	-	0.16	ORPHAN		y	hist	| 2026-08-18 | **CORRECTION — the ligand-vs-receptor failure does NOT generalise, and I had been repeating tha
DECISIONS.md	66	-	3.53	ORPHAN		y	hist	| 2026-08-18 | **CORRECTION — the ligand-vs-receptor failure does NOT generalise, and I had been repeating tha
DECISIONS.md	67	-	4,110	ORPHAN		y		| 2026-08-18 | **`known_drug` is a strict SUPERSET of our approved join** — all 4,110 join pairs appear in it 
DECISIONS.md	68	-	4.3	ORPHAN		y		| 2026-08-17 | **Persona panel: keep one lung term, retire type 2 diabetes, drop CKD** (§8.7). T2D passes one 
