path	kind	status	n_refs	referenced_by
webapp/backend/routes/graph.py	webapp	ORPHAN (referenced by nothing)	0	-
webapp/frontend/tsconfig.json	webapp	ORPHAN (referenced by nothing)	0	-
archive/webapp-v1/backend.py	archive	ARCHIVED	12	AGENTS.md,CLAUDE.md,docs/demo/FLOW_MAP.md,docs/demo/flow_map.html
docs/appendix/manifest.json	docs	LIVE (referenced)	1	docs/appendix/README.md
docs/demo/model_recovery.json	docs	LIVE (referenced)	1	archive/DASHBOARD_BUILD_LOG.md
dss_recipes/attach_node_index.py	recipe-mirror	MIRROR (graph-build project)	0	-
dss_recipes/compute_breast_panel.py	recipe-mirror	MIRROR	3	archive/DASHBOARD_BUILD_LOG.md,docs/demo/DASHBOARD_MOCKUP_V2.html,docs/demo/DASHBOARD_MOCKUP_V3.html
dss_recipes/compute_disease_eligibility.py	recipe-mirror	MIRROR	0	-
dss_recipes/compute_disease_family_id.py	recipe-mirror	MIRROR	0	-
dss_recipes/compute_disease_group_map.py	recipe-mirror	MIRROR (graph-build project)	0	-
dss_recipes/compute_disease_hierarchy_annotation.py	recipe-mirror	MIRROR (graph-build project)	0	-
dss_recipes/compute_drug_evidence_pairs.py	recipe-mirror	MIRROR	0	-
dss_recipes/compute_drug_target_benchmark.py	recipe-mirror	MIRROR	0	-
dss_recipes/compute_drug_target_benchmark_staged.py	recipe-mirror	MIRROR (graph-build project)	1	archive/DASHBOARD_BUILD_LOG.md
dss_recipes/compute_dwpc_go_metapaths.py	recipe-mirror	MIRROR	0	-
dss_recipes/compute_enriched_prox_closest.py	recipe-mirror	MIRROR	0	-
dss_recipes/compute_enriched_rwr_score_1.py	recipe-mirror	MIRROR	0	-
dss_recipes/compute_filter_three_axes.py	recipe-mirror	MIRROR	0	-
dss_recipes/compute_gene_druggability.py	recipe-mirror	MIRROR (graph-build project)	1	archive/DASHBOARD_BUILD_LOG.md
dss_recipes/compute_gene_localization.py	recipe-mirror	MIRROR	0	-
dss_recipes/compute_gene_names.py	recipe-mirror	MIRROR (graph-build project)	0	-
dss_recipes/compute_hub_bias_meter.py	recipe-mirror	MIRROR	0	-
dss_recipes/compute_kg.py	recipe-mirror	MIRROR (graph-build project)	0	-
dss_recipes/compute_kg_edges.py	recipe-mirror	MIRROR (graph-build project)	0	-
dss_recipes/compute_known_drug_truth.py	recipe-mirror	MIRROR	0	-
dss_recipes/compute_lung_granularity_check.py	recipe-mirror	MIRROR (graph-build project)	1	archive/DASHBOARD_BUILD_LOG.md
dss_recipes/compute_model_comparison.py	recipe-mirror	MIRROR (graph-build project)	1	archive/DASHBOARD_BUILD_LOG.md
dss_recipes/compute_novel_discovery_eval.py	recipe-mirror	MIRROR	1	dss_recipes/compute_drug_evidence_pairs.py
dss_recipes/compute_persona_candidates.py	recipe-mirror	MIRROR	0	-
dss_recipes/compute_pool_reachability.py	recipe-mirror	MIRROR	0	-
dss_recipes/compute_ppi_cn_zscore.py	recipe-mirror	MIRROR	0	-
dss_recipes/compute_ppi_evidence_depth.py	recipe-mirror	MIRROR	0	-
dss_recipes/compute_split_audit_2.py	recipe-mirror	MIRROR	0	-
dss_recipes/compute_target_reachability.py	recipe-mirror	MIRROR (graph-build project)	1	archive/DASHBOARD_BUILD_LOG.md
dss_recipes/compute_top_shap_drivers_1.py	recipe-mirror	MIRROR	0	-
dss_recipes/compute_tractability_axis.py	recipe-mirror	MIRROR	0	-
dss_recipes/compute_tractability_lift.py	recipe-mirror	MIRROR (graph-build project)	1	archive/DASHBOARD_BUILD_LOG.md
dss_recipes/compute_validation_auc_by_disease_2.py	recipe-mirror	MIRROR (graph-build project)	1	archive/DASHBOARD_BUILD_LOG.md
dss_recipes/cypher/compute_enriched_degree_controls_1.cypher	cypher-mirror	MIRROR	0	-
dss_recipes/cypher/compute_enriched_disease_context_1.cypher	cypher-mirror	MIRROR	0	-
dss_recipes/cypher/compute_enriched_dwpc_GCD.cypher	cypher-mirror	MIRROR	0	-
dss_recipes/cypher/compute_enriched_dwpc_GGD.cypher	cypher-mirror	MIRROR	0	-
dss_recipes/cypher/compute_enriched_dwpc_GPGD.cypher	cypher-mirror	MIRROR	0	-
dss_recipes/cypher/compute_enriched_guilt_by_association_1.cypher	cypher-mirror	MIRROR	0	-
dss_recipes/cypher/compute_enriched_inflammatory_go.cypher	cypher-mirror	MIRROR	0	-
dss_recipes/cypher/compute_enriched_module_size_1.cypher	cypher-mirror	MIRROR	0	-
dss_recipes/cypher/compute_enriched_shared_pathway_count_1.cypher	cypher-mirror	MIRROR	0	-
dss_recipes/extract_drug_ot.py	recipe-mirror	MIRROR (graph-build project)	0	-
dss_recipes/extract_hetionet_disease_slim.py	recipe-mirror	MIRROR	0	-
dss_recipes/extract_mondo.py	recipe-mirror	MIRROR (graph-build project)	0	-
dss_recipes/extract_ot_assoc.py	recipe-mirror	MIRROR (graph-build project)	0	-
dss_recipes/extract_ot_druggability.py	recipe-mirror	MIRROR (graph-build project)	0	-
dss_recipes/extract_ot_maps.py	recipe-mirror	MIRROR (graph-build project)	0	-
dss_recipes/extract_ppi.py	recipe-mirror	MIRROR (graph-build project)	0	-
dss_recipes/extract_reactome.py	recipe-mirror	MIRROR (graph-build project)	0	-
index_remap.json	root-script	LIVE (referenced)	3	DECISIONS.md,docs/prioritizer/TARGET_PRIORITIZER.md,dss_recipes/compute_split_audit_2.py
notebooks/nb1_features_and_config.py	notebook	LIVE (tripwire)	0	-
notebooks/nb2_splitting_and_pool.py	notebook	LIVE (tripwire)	0	-
notebooks/nb3_validation_and_plots.py	notebook	LIVE (tripwire)	1	archive/DASHBOARD_BUILD_LOG.md
notebooks/nb3b_hub_bias_meter.py	notebook	LIVE (tripwire)	0	-
notebooks/nb4_results_three_axes.py	notebook	LIVE (tripwire)	0	-
notebooks/nb5_data_exploration.py	notebook	LIVE (tripwire)	0	-
notebooks/nb6_interrogation_and_close.py	notebook	LIVE (tripwire)	0	-
notebooks/nb7_panel_selection.py	notebook	LIVE (tripwire)	1	docs/demo/panel_selection/README.md
reference_baseline.json	root-script	LIVE (referenced)	3	DECISIONS.md,docs/graph/GRAPH_BUILDING.md,docs/prioritizer/TARGET_PRIORITIZER.md
scripts/create_vg_webapp.py	scripts	LIVE (referenced)	1	tools/recipe_classes.json
scripts/filter_mrconso.sh	scripts	LIVE (referenced)	1	tools/recipe_classes.json
tools/build_index.py	tool	LIVE	7	AGENTS.md,CLAUDE.md,DECISIONS.md,archive/DASHBOARD_BUILD_LOG.md
tools/build_recipe_index.py	tool	LIVE	18	.claude/skills/target-id/SKILL.md,.codex/skills/target-id/SKILL.md,AGENTS.md,CLAUDE.md
tools/check_freshness.py	tool	LIVE	1	archive/DASHBOARD_BUILD_LOG.md
tools/check_indexes.sh	tool	LIVE	7	.claude/skills/target-id/SKILL.md,.claude/skills/target-id/references/number-update.md,.codex/skills/target-id/SKILL.md,.codex/skills/target-id/references/number-update.md
tools/check_links.py	tool	LIVE	4	AGENTS.md,CLAUDE.md,DECISIONS.md,tools/check_indexes.sh
tools/model_registry.json	tool	LIVE	5	.claude/skills/target-id/SKILL.md,.codex/skills/target-id/SKILL.md,DECISIONS.md,archive/DASHBOARD_BUILD_LOG.md
tools/pull_notebooks.py	tool	LIVE	1	archive/DASHBOARD_BUILD_LOG.md
tools/recipe_classes.json	tool	LIVE	4	DECISIONS.md,docs/prioritizer/PHASE3_PREREGISTRATION.md,tools/build_recipe_index.py,tools/model_registry.json
webapp/backend/__init__.py	webapp	LIVE (referenced)	1	webapp/dss_webapp/deploy.sh
webapp/backend/app.py	webapp	LIVE (referenced)	7	tools/recipe_classes.json,webapp/DEPLOYMENT.md,webapp/README.md,webapp/backend/routes/chat.py
webapp/backend/config.py	webapp	LIVE (referenced)	3	webapp/README.md,webapp/app.env,webapp/dss_webapp/backend.py
webapp/backend/dss_client.py	webapp	LIVE (referenced)	6	docs/demo/DASHBOARD_DESIGN.md,webapp/AGENTS.md,webapp/CLAUDE.md,webapp/DEPLOYMENT.md
webapp/backend/routes/__init__.py	webapp	LIVE (referenced)	1	webapp/dss_webapp/deploy.sh
webapp/backend/routes/agents.py	webapp	LIVE (referenced)	3	webapp/AGENTS.md,webapp/CLAUDE.md,webapp/frontend/src/types/agents.ts
webapp/backend/routes/calibration.py	webapp	LIVE (referenced)	1	webapp/DEPLOYMENT.md
webapp/backend/routes/candidates.py	webapp	LIVE (referenced)	1	webapp/DEPLOYMENT.md
webapp/backend/routes/chat.py	webapp	LIVE (referenced)	2	webapp/AGENTS.md,webapp/CLAUDE.md
webapp/backend/routes/documents.py	webapp	LIVE (referenced)	2	webapp/AGENTS.md,webapp/CLAUDE.md
webapp/backend/routes/evidence.py	webapp	LIVE (referenced)	1	webapp/DEPLOYMENT.md
webapp/backend/routes/example.py	webapp	LIVE (referenced)	4	webapp/AGENTS.md,webapp/CLAUDE.md,webapp/README.md,webapp/backend/tools/registry.py
webapp/backend/routes/families.py	webapp	LIVE (referenced)	1	webapp/DEPLOYMENT.md
webapp/backend/routes/flow.py	webapp	LIVE (referenced)	3	webapp/AGENTS.md,webapp/CLAUDE.md,webapp/frontend/src/types/flow.ts
webapp/backend/routes/system.py	webapp	LIVE (referenced)	3	webapp/AGENTS.md,webapp/CLAUDE.md,webapp/README.md
webapp/backend/routes/wizard.py	webapp	LIVE (referenced)	5	webapp/AGENTS.md,webapp/CLAUDE.md,webapp/README.md,webapp/frontend/src/types/wizard.ts
webapp/backend/services/__init__.py	webapp	LIVE (referenced)	1	webapp/dss_webapp/deploy.sh
webapp/backend/services/chat_agent.py	webapp	LIVE (referenced)	2	webapp/AGENTS.md,webapp/CLAUDE.md
webapp/backend/services/db.py	webapp	LIVE (referenced)	2	webapp/AGENTS.md,webapp/CLAUDE.md
webapp/backend/services/document_describer.py	webapp	LIVE (referenced)	2	webapp/AGENTS.md,webapp/CLAUDE.md
webapp/backend/services/documents_service.py	webapp	LIVE (referenced)	3	webapp/AGENTS.md,webapp/CLAUDE.md,webapp/README.md
webapp/backend/services/memory_state.py	webapp	LIVE (referenced)	3	webapp/AGENTS.md,webapp/CLAUDE.md,webapp/README.md
webapp/backend/services/permission_broker.py	webapp	LIVE (referenced)	2	webapp/AGENTS.md,webapp/CLAUDE.md
webapp/backend/services/settings.py	webapp	LIVE (referenced)	5	webapp/AGENTS.md,webapp/CLAUDE.md,webapp/README.md,webapp/backend/tools/registry.py
webapp/backend/tools/__init__.py	webapp	LIVE (referenced)	1	webapp/dss_webapp/deploy.sh
webapp/backend/tools/registry.py	webapp	LIVE (referenced)	3	webapp/AGENTS.md,webapp/CLAUDE.md,webapp/README.md
webapp/dss_webapp/backend.py	webapp	LIVE (referenced)	12	AGENTS.md,CLAUDE.md,docs/demo/FLOW_MAP.md,docs/demo/flow_map.html
webapp/dss_webapp/deploy.sh	webapp	LIVE (referenced)	8	docs/demo/DASHBOARD_DESIGN.md,webapp/AGENTS.md,webapp/CLAUDE.md,webapp/DEPLOYMENT.md
webapp/frontend/package-lock.json	webapp	LIVE (referenced)	1	webapp/Makefile
webapp/frontend/package.json	webapp	LIVE (referenced)	2	webapp/Makefile,webapp/README.md
webapp/frontend/tsconfig.app.json	webapp	LIVE (referenced)	1	webapp/frontend/tsconfig.json
webapp/frontend/tsconfig.node.json	webapp	LIVE (referenced)	1	webapp/frontend/tsconfig.json
