file	line	section	value	status	guarded_by	model_dep	hint	context
archive/DASHBOARD_BUILD_LOG.md	38	11	10,000	ORPHAN				**DSS traps worth keeping** (they apply to any presentation layer): chart sampling defaults to 10,000
archive/DASHBOARD_BUILD_LOG.md	41	11	129,253	ORPHAN				`dashboard_candidates` pulls all 129,253 rows in one `head` call, which is how every HER2+ figure here was
archive/DASHBOARD_BUILD_LOG.md	85	12.2	2,851,510	ORPHAN				at most a few hundred rows *once computed*. The app must never read `graph_edges` (2,851,510 rows) to
archive/DASHBOARD_BUILD_LOG.md	102	12.2	12,272	ORPHAN				**Second question, and it applies to exactly one dataset.** Act 4 needs row-level data: ~12,272 rows ×
archive/DASHBOARD_BUILD_LOG.md	108	12.2	129,253	ORPHAN				(129,253 × 63).
archive/DASHBOARD_BUILD_LOG.md	113	12.2	12,272	ORPHAN				`WHERE disease_index = 48537` is pushed to the warehouse and only 12,272 rows transfer. Cold start is
archive/DASHBOARD_BUILD_LOG.md	131	12.2	2,851,510	ORPHAN				`dku dataset metrics get graph_edges records:COUNT_RECORDS` returns 2,851,510 today. Reading a metric
archive/DASHBOARD_BUILD_LOG.md	134	12.2	113,391	ORPHAN				*And for the two headline scalars, metrics are strictly better.* 113,391 nodes and 2,851,510 edges are
archive/DASHBOARD_BUILD_LOG.md	134	12.2	2,851,510	ORPHAN				*And for the two headline scalars, metrics are strictly better.* 113,391 nodes and 2,851,510 edges are
archive/DASHBOARD_BUILD_LOG.md	212	12.2	113,391	ORPHAN				- **Act 1's stat card reads metrics, not a dataset sum.** 113,391 and 2,851,510 are already
archive/DASHBOARD_BUILD_LOG.md	212	12.2	2,851,510	ORPHAN				- **Act 1's stat card reads metrics, not a dataset sum.** 113,391 and 2,851,510 are already
archive/DASHBOARD_BUILD_LOG.md	243	12.4	0.8962	ORPHAN		y		`auc = 0.8962` and `averagePrecision = 0.3359`. Both are **pooled, on the model's internal test split**:
archive/DASHBOARD_BUILD_LOG.md	243	12.4	0.3359	ORPHAN		y		`auc = 0.8962` and `averagePrecision = 0.3359`. Both are **pooled, on the model's internal test split**:
archive/DASHBOARD_BUILD_LOG.md	247	12.4	0.8962	ORPHAN		y		| AUROC | 0.8962 | **0.8230** | +7.3 pts — exactly the pooled overstatement the project warns about |
archive/DASHBOARD_BUILD_LOG.md	247	12.4	0.8230	VALUE_ONLY	nb3_validation_and_plots.py:10.1 macro per-disease AUC	y		| AUROC | 0.8962 | **0.8230** | +7.3 pts — exactly the pooled overstatement the project warns about |
archive/DASHBOARD_BUILD_LOG.md	248	12.4	0.3359	ORPHAN		y		| AUPRC | 0.3359 | **0.1778** | nearly 2× |
archive/DASHBOARD_BUILD_LOG.md	248	12.4	0.1778	ORPHAN		y		| AUPRC | 0.3359 | **0.1778** | nearly 2× |
archive/DASHBOARD_BUILD_LOG.md	253	12.4	1.89	VALUE_ONLY	nb2_splitting_and_pool.py:5.2 pool positive rate %	y		candidate pool is **1.89% positive**, so a random ranker scores AUPRC 0.0189. The champion's 0.1778 is
archive/DASHBOARD_BUILD_LOG.md	253	12.4	0.0189	ORPHAN		y		candidate pool is **1.89% positive**, so a random ranker scores AUPRC 0.0189. The champion's 0.1778 is
archive/DASHBOARD_BUILD_LOG.md	253	12.4	0.1778	ORPHAN		y		candidate pool is **1.89% positive**, so a random ranker scores AUPRC 0.0189. The champion's 0.1778 is
archive/DASHBOARD_BUILD_LOG.md	254	12.4	9.4	ORPHAN				**9.4× the base rate**. Form: a horizontal bar with the base rate as a hairline at the left edge and the
archive/DASHBOARD_BUILD_LOG.md	255	12.4	9.4	ORPHAN				achieved value as the bar, labelled *"9.4× better than chance at concentrating true targets."* Put
archive/DASHBOARD_BUILD_LOG.md	257	12.4	1.89	VALUE_ONLY	nb2_splitting_and_pool.py:5.2 pool positive rate %			1.89% prevalence.
archive/DASHBOARD_BUILD_LOG.md	268	12.5	38,092	ORPHAN			hist	| 1 | Replace *Accepted vs reference* with the source count | **but say "6 external sources"**, not 7. The sev
archive/DASHBOARD_BUILD_LOG.md	268	12.5	25,906	ORPHAN			hist	| 1 | Replace *Accepted vs reference* with the source count | **but say "6 external sources"**, not 7. The sev
