disease_index,disease,pool,n_known_targets,base_rate_pct,auc,auc_se,auc_lo95,auc_hi95,hits_at_50,expected_at_50,enrichment_at_50,hits50_poisson_p,hits50_verdict,n_novel,auc_trustworthy,novel50_tractable,novel50_tractable_pct,approved_novel_total,approved_novel_hits50,approved_novel_exp50,approved_novel_lift50,investigational_novel_total,investigational_novel_hits50,investigational_novel_exp50,investigational_novel_lift50,top10_novel_genes
47415,breast carcinoma,13290,864,6.501128668171558,0.8578729597737123,0.008147853570831682,0.8419031667748822,0.8738427527725423,49,3.250564334085779,15.074305555555556,1.1102230246251565e-16,significant,12426,True,12,24.0,19,0,0.0764525993883792,0.0,67,1,0.2695960083695477,3.709253731343284,"SMARCA2, MAPK3, STAT1, EGR1, IRS2, IRS1, GSK3A, ZAP70, IQGAP1, SMARCD2"
48537,HER2 positive breast carcinoma,12272,599,4.88102998696219,0.9337590693075226,0.007084835726292726,0.9198727912839889,0.9476453473310563,46,2.440514993481095,18.848480801335562,4.440892098500626e-16,significant,11673,True,10,20.0,0,0,0.0,,82,0,0.3512378994260259,0.0,"HRAS, NRAS, STAT1, SMARCA2, MAPK3, PTPN6, ZAP70, IRS1, IRS2, EGR1"
46673,female breast carcinoma,11946,544,4.553825548300686,0.9360711033667984,0.007314741392766513,0.9217342102369761,0.9504079964966208,50,2.276912774150343,21.959558823529413,0.0,significant,11402,True,14,28.0,0,0,0.0,,0,0,0.0,,"STAT1, MAPK3, PTPN6, PML, HDAC3, IRS2, SMARCA2, IRS1, ZAP70, PIK3R2"
47832,breast lobular carcinoma,11723,513,4.376012965964343,0.934250086510756,0.007627451881231633,0.919300280823542,0.9491998921979701,49,2.1880064829821717,22.394814814814815,1.1102230246251565e-16,significant,11210,True,15,30.0,0,0,0.0,,0,0,0.0,,"NRAS, MAPK3, STAT1, PTPN6, EGR1, FOXO4, HDAC3, ZAP70, PML, IRS1"
49721,breast cancer (parent term),9067,138,1.5220028675416346,0.6929034362872322,0.02523442778809493,0.6434439578225661,0.7423629147518982,20,0.7610014337708173,26.281159420289853,0.0,significant,8929,True,11,22.0,43,4,0.24078844215477657,16.612093023255813,485,11,2.7158696382573635,4.050268041237113,"APOBEC3B, MLH1, BLM, RAD50, MRE11, BABAM2, CTNNB1, LMNA, ATR, TOPBP1"
48546,invasive breast carcinoma,8170,123,1.5055079559363524,0.9288175869207431,0.016106510959620023,0.8972488254398878,0.9603863484015984,16,0.7527539779681762,21.25528455284553,1.1102230246251565e-16,significant,8047,True,25,50.0,0,0,0.0,,21,1,0.13048340996644714,7.663809523809523,"CTNNB1, EP300, SMAD3, CREBBP, ATM, JAK2, MSH2, HRAS, FGFR1, KDR"
42563,luminal A breast carcinoma,8157,101,1.2382003187446364,0.8523245695969796,0.023989647866939044,0.805304859777779,0.8993442794161801,12,0.6191001593723182,19.382970297029704,3.74156261528924e-12,significant,8056,True,20,40.0,0,0,0.0,,0,0,0.0,,"EP300, WRN, STAT3, MSH2, MRE11, ATM, GAB2, FGFR1, NBN, MET"
42562,luminal B breast carcinoma,7439,88,1.1829546982121253,0.9108624676914705,0.020994243066495947,0.8697137512811385,0.9520111841018025,19,0.5914773491060626,32.12295454545455,1.1102230246251565e-16,significant,7351,True,21,42.0,0,0,0.0,,0,0,0.0,,"EP300, MSH6, CTNNB1, FGFR1, PIK3R1, STAT3, PTPN11, NRG1, NTRK1, SMARCB1"
47414,breast adenocarcinoma,6738,53,0.7865835559513209,0.8927675307997347,0.029214457908909894,0.8355071932982713,0.9500278683011981,12,0.39329177797566045,30.511698113207547,1.9984014443252818e-14,significant,6685,True,23,46.0,0,0,0.0,,27,3,0.2019446522064323,14.855555555555556,"EP300, HRAS, FGFR1, CTNNB1, EGFR, NRAS, SMAD3, PIK3CB, AKT2, NRG1"
48747,estrogen-receptor positive breast cancer,5297,33,0.6229941476307344,0.793330339872893,0.04694265514794022,0.7013227357829301,0.8853379439628559,4,0.3114970738153672,12.841212121212122,0.0003061620958400013,significant,5264,True,8,16.0,0,0,0.0,,82,1,0.7788753799392097,1.2839024390243903,"APOBEC3B, APOBEC3C, RAD51C, BLM, SLC16A7, ATR, SMC4, SERINC2, RAD50, PUM1"
48748,estrogen-receptor negative breast cancer,3474,14,0.4029936672423719,0.8662056151940545,0.06202629975075363,0.7446340676825773,0.9877771627055316,6,0.20149683362118595,29.777142857142856,7.82358078321721e-08,significant,3460,False,9,18.0,0,0,0.0,,18,0,0.26011560693641617,0.0,"ATM, ATR, CTNNB1, SMAD3, ADCY2, MCM9, ADCY7, BLM, HNF1A, RAD51C"
47807,triple-negative breast carcinoma,2563,8,0.3121342177136169,0.9300880626223093,0.06260920131573201,0.8073740280434745,1.052802097201144,2,0.15606710885680844,12.815,0.010982534390504117,significant but fragile (<3 hits),2555,False,6,12.0,0,0,0.0,,266,3,5.205479452054795,0.5763157894736842,"RAD50, TP53, NBN, ATM, BRCA2, FGF7, BRIP1, RBBP8, SMAD3, SMAD4"
