arm,block,block_rank,rank_in_subtype,gene,model_score,target_class,druggability,small_molecule_tractable,antibody_tractable,some_drug_already_hits_this_gene,documented_safety_liability,liability_detail,why_the_model_ranked_it,REVIEW_plausible_1to5,REVIEW_already_known_to_you,REVIEW_worth_pursuing,REVIEW_comment
Luminal A (HR+/HER2-),A. known target - sanity anchor,1,6,AKT1,0.9559,Enzyme,Enzyme,True,True,False,True,apoptototic cell death in cancer cells|heart disease|hyperglycemia|regulation of catalytic activity,"ppi_multi_source_frac (+1.09), dwpc_GBGD (+1.05)",,,,
Luminal A (HR+/HER2-),A. known target - sanity anchor,2,7,BLM,0.9559,Enzyme,Enzyme,True,False,False,False,,"ppi_adamic_adar (+1.07), ppi_multi_source_frac (+0.94)",,,,
Luminal A (HR+/HER2-),A. known target - sanity anchor,3,8,PIK3R1,0.9558,Enzyme,Enzyme,True,True,False,True,hyperglycemia|leukopenia,"ppi_multi_source_frac (+1.27), ppi_adamic_adar (+0.78)",,,,
Luminal A (HR+/HER2-),A. known target - sanity anchor,4,14,PIK3CA,0.9419,Enzyme,Enzyme,True,True,True,True,No significant results|drug toxicity|heart disease|regulation of catalytic activity,"gene_n_pathways (-1.01), ppi_multi_source_frac (+0.93)",,,,
Luminal A (HR+/HER2-),A. known target - sanity anchor,5,15,ESR1,0.9417,Transcription factor,Transcription factor,True,True,True,True,"Altered, Larval development|Altered, Reproductive behaviour|Decrease, Population growth rate|Decreased sperm quantity /","ppi_multi_source_frac (+0.98), ppi_adamic_adar (+0.89)",,,,
Luminal A (HR+/HER2-),A. known target - sanity anchor,6,19,CTNNB1,0.9365,Unclassified protein,Unclassified protein,True,True,False,True,"neutropenia|response to cyclophosphamide, dexamethasone, and thalidomide|response to thalidomide","ppi_multi_source_frac (+1.05), ppi_adamic_adar (+0.80)",,,,
Luminal A (HR+/HER2-),A. known target - sanity anchor,7,22,RUNX1,0.9347,Transcription factor,Transcription factor,True,False,False,False,,"ppi_adamic_adar (+0.67), dwpc_GBGD (+0.62)",,,,
Luminal A (HR+/HER2-),A. known target - sanity anchor,8,23,FGFR2,0.9331,Enzyme,Enzyme,True,True,True,False,,"dwpc_GBGD (+0.77), ppi_adamic_adar (+0.77)",,,,
Luminal A (HR+/HER2-),A. known target - sanity anchor,9,27,TP53,0.9287,Transcription factor,Transcription factor,True,False,False,True,"Tumorigenesis, Hepatocellular carcinoma|drug toxicity|neutropenia|regulation of transcription factor activity","ppi_multi_source_frac (+1.44), dwpc_GBGD (+0.68)",,,,
Luminal A (HR+/HER2-),A. known target - sanity anchor,10,34,JAK2,0.9147,Enzyme,Enzyme,True,True,True,True,heart disease|regulation of catalytic activity,"ppi_multi_source_frac (+1.33), ppi_evidence_depth (-0.58)",,,,
Luminal A (HR+/HER2-),B. NOVEL candidate - please assess,1,1,EP300,0.9772,Epigenetic regulator,Epigenetic regulator,True,False,False,False,,"ppi_multi_source_frac (+1.36), ppi_adamic_adar (+1.03)",,,,
