disease_index,mondo_id,disease_name,node_source,module_size,is_eligible,is_anchor,anchor_doid,anchor_hetionet_name,current_family_id,current_family_name,current_anchor_name,current_hop_depth,n_parents,n_children,n_eligible_children,n_anchor_children,is_parent_term,parent_names,anchor_children_names,n_anchor_ancestors,n_anchor_descendants,is_ancestor_of_anchor,is_descendant_of_anchor,antichain_ok_as_anchor,n_descendants,n_eligible_descendants
28052,1,disease,MONDO,,0,0,,,,,,,0,2,0,0,0,,,0,105,1,0,0,22280,860
28053,1000,mixed mineral dust pneumoconiosis,MONDO,,0,0,,,,,,,1,1,0,0,0,pneumoconiosis,,0,0,0,0,1,1,0
28054,10000,"rod-cone dystrophy, sensorineural deafness, and Fanconi-type renal dysfunction",MONDO,,0,0,,,28054.0,"rod-cone dystrophy, sensorineural deafness, and Fanconi-type renal dysfunction",,,1,0,0,0,0,hereditary disease,,0,0,0,0,1,0,0
28055,100000,MED12-related intellectual disability syndrome,MONDO,,0,0,,,28055.0,MED12-related intellectual disability syndrome,,,2,2,0,0,0,Mediator complex-related neurodevelopmental disorder | X-linked syndromic intellectual disability,,0,0,0,0,1,2,0
28056,100001,alpha-gal syndrome,MONDO,,0,0,,,,,,,1,0,0,0,0,allergic disease,,0,0,0,0,1,0,0
28057,100002,food protein-induced allergic proctocolitis,MONDO,,0,0,,,,,,,2,0,0,0,0,gastrointestinal allergy | proctocolitis,,0,0,0,0,1,0,0
28058,100003,susceptibility to angioedema induced by ACE inhibitors,MONDO,,0,0,,,,,,,1,0,0,0,0,inherited disease susceptibility,,0,0,0,0,1,0,0
28059,100004,mast cell activation syndrome,MONDO,,0,0,,,,,,,1,3,0,0,0,leukocyte disorder,,0,0,0,0,1,3,0
28060,100006,secondary mast cell activation syndrome,MONDO,,0,0,,,,,,,1,0,0,0,0,mast cell activation syndrome,,0,0,0,0,1,0,0
28061,100008,food protein-induced enterocolitis syndrome,MONDO,,0,0,,,,,,,1,0,0,0,0,enterocolitis,,0,0,0,0,1,0,0
28062,100009,"structural congenital heart disease, multiple types - GATA4",MONDO,,0,0,,,,,,,2,0,0,0,0,cardiogenetic disease | congenital heart disease,,0,0,0,0,1,0,0
28063,100010,disease of the tendon,MONDO,,0,0,,,28063.0,disease of the tendon,,,1,3,0,0,0,musculoskeletal system disorder,,0,0,0,0,1,18,0
28064,100011,tendinosis,MONDO,,0,0,,,,,,,1,0,0,0,0,disease of the tendon,,0,0,0,0,1,0,0
28065,100012,paratenonitis,MONDO,,0,0,,,,,,,1,1,0,0,0,tendinitis,,0,0,0,0,1,1,0
28066,100013,paratenonitis with tendinosis,MONDO,,0,0,,,,,,,1,0,0,0,0,paratenonitis,,0,0,0,0,1,0,0
28067,100014,autoimmune retinopathy,MONDO,,0,0,,,,,,,3,0,0,0,0,"autoimmune disease of ear, nose and throat | autoimmune disorder of the nervous system | retinal disorder",,0,0,0,0,1,0,0
28068,100015,adult-onset segmental dystonia,MONDO,,0,0,,,,,,,2,0,0,0,0,"focal, segmental or multifocal dystonia | segmental dystonia",,0,0,0,0,1,0,0
28069,100017,pityriasis rubra pilaris,MONDO,,0,0,,,28069.0,pityriasis rubra pilaris,,,1,3,0,0,0,erythrokeratoderma,,0,0,0,0,1,3,0
28070,100018,adult onset pityriasis rubra pilaris,MONDO,,0,0,,,,,,,1,0,0,0,0,pityriasis rubra pilaris,,0,0,0,0,1,0,0
28071,100019,ECHS1-related paroxysmal dyskinesia,MONDO,,0,0,,,,,,,0,0,0,0,0,,,0,0,0,0,1,0,0
28072,100020,atypical childhood epilepsy with centrotemporal spikes,MONDO,,0,0,,,,,,,1,0,0,0,0,childhood-onset epilepsy syndrome,,1,0,0,1,0,0,0
28073,100021,photosensitive occipital lobe epilepsy,MONDO,,0,0,,,,,,,1,0,0,0,0,childhood-onset self-limited focal epilepsy syndrome,,1,0,0,1,0,0,0
28074,100022,neonatal/infantile epilepsy syndrome,MONDO,,0,0,,,47444.0,epilepsy,epilepsy syndrome,2.0,1,3,0,0,0,epilepsy syndrome,,1,0,0,1,0,11,2
28075,100026,myoclonic encephalopathy in non-progressive disorder,MONDO,,0,0,,,,,,,1,0,0,0,0,neonatal/infantile epilepsy syndrome,,1,0,0,1,0,0,0
28076,100028,immune epilepsy,MONDO,,0,0,,,,,,,1,2,0,0,0,epilepsy,,1,0,0,1,0,2,0
28077,100029,antibody mediated epilepsy,MONDO,,0,0,,,,,,,1,0,0,0,0,immune epilepsy,,1,0,0,1,0,0,0
28078,10003,Rowley-Rosenberg syndrome,MONDO,,0,0,,,,,,,1,0,0,0,0,hereditary disease,,0,0,0,0,1,0,0
28079,100033,metabolic epilepsy,MONDO,,0,0,,,,,,,1,4,0,0,0,epilepsy,,1,0,0,1,0,8,0
28080,100034,cerebral folate deficiency,MONDO,,0,0,,,,,,,1,0,0,0,0,inborn vitamin metabolic disorder,,0,0,0,0,1,0,0
28081,100035,structural epilepsy,MONDO,,0,0,,,,,,,1,0,0,0,0,epilepsy,,1,0,0,1,0,0,0
28082,100037,juvenile onset pityriasis rubra pilaris,MONDO,,0,0,,,,,,,1,0,0,0,0,pityriasis rubra pilaris,,0,0,0,0,1,0,0
28083,100038,complex neurodevelopmental disorder,MONDO,129.0,1,0,,,28083.0,complex neurodevelopmental disorder,,,1,15,1,0,1,neurodevelopmental disorder,,0,1,1,0,0,48,4
28084,100039,CDKL5 disorder,MONDO,,0,0,,,28084.0,CDKL5 disorder,,,1,0,0,0,0,hereditary disease,,0,0,0,0,1,0,0
28085,10004,EEC syndrome,MONDO,,0,0,,,28085.0,EEC syndrome,,,5,0,0,0,0,autosomal dominant disease | congenital limb malformation | disorder of visual system | dysostosis | syndromic disease,,0,0,0,0,1,0,0
28086,100040,FOXG1 disorder,MONDO,,0,0,,,28086.0,FOXG1 disorder,,,4,0,0,0,0,Mendelian neurodevelopmental disorder | atypical Rett syndrome | congenital nervous system disorder | pervasive developmental disorder,,0,0,0,0,1,0,0
28087,100041,secondary trimethylaminuria,MONDO,,0,0,,,,,,,1,0,0,0,0,trimethylaminuria,,0,0,0,0,1,0,0
28088,100042,cardiac conduction defect,MONDO,,0,0,,,28088.0,cardiac conduction defect,,,1,1,0,0,0,cardiac rhythm disease,,0,0,0,0,1,4,1
28089,100043,"epidermodysplasia verruciformis, susceptibility to",MONDO,,0,0,,,,,,,1,1,0,0,0,inherited disease susceptibility,,0,0,0,0,1,1,0
28090,100044,acrofrontofacionasal dysostosis 1,MONDO,,0,0,,,,,,,1,0,0,0,0,acrofrontofacionasal dysostosis,,0,0,0,0,1,0,0
