disease_index,disease,cls,maturity,delta,n_approved_drugs,n_trial_drugs,novel_linked_total_approved,novel_linked_total_investigational,lift_top50_approved,lift_top50_investigational,hits_top50_approved,hits_top50_investigational
36637,gastric cancer,oncology,0.012244897959183673,-4.46801652892562,3.0,176.0,3.0,242.0,0.0,4.46801652892562,0.0,9.0
37143,obesity disorder,metabolic,0.189873417721519,37.349583333333335,14.0,64.0,30.0,128.0,41.21333333333334,3.86375,5.0,2.0
37230,gastric ulcer,other,0.29411764705882354,0.0,6.0,15.0,5.0,12.0,0.0,0.0,0.0,0.0
37461,gastrointestinal stromal tumor,oncology,0.022727272727272728,57.674108527131786,5.0,58.0,3.0,129.0,67.02666666666667,9.352558139534883,1.0,6.0
37525,psoriatic arthritis,other,0.12048192771084337,38.845369863013694,11.0,26.0,10.0,73.0,40.70399999999999,1.8586301369863012,3.0,1.0
38232,insomnia,other,0.28888888888888886,0.0,34.0,54.0,26.0,64.0,0.0,0.0,0.0,0.0
38404,esophagitis,other,0.125,0.0,5.0,13.0,3.0,21.0,0.0,0.0,0.0,0.0
38912,medullary thyroid gland carcinoma,oncology,0.2018348623853211,1.2372831765935217,4.0,30.0,22.0,87.0,16.996363636363636,15.759080459770114,3.0,11.0
39167,primary peritoneal carcinoma,oncology,0.012244897959183673,-2.4057851239669423,1.0,134.0,3.0,242.0,0.0,2.4057851239669423,0.0,5.0
39510,dementia,other,0.06557377049180328,20.420964912280706,10.0,55.0,8.0,114.0,23.755000000000003,3.334035087719298,1.0,2.0
40442,marginal zone lymphoma,oncology,0.0410958904109589,-11.998285714285712,1.0,51.0,3.0,70.0,0.0,11.998285714285712,0.0,6.0
40787,infantile spasms,other,0.5151515151515151,-20.825000000000003,2.0,13.0,17.0,16.0,0.0,20.825000000000003,0.0,5.0
41287,myelodysplastic syndrome,other,0.0711743772241993,-9.728122605363986,6.0,232.0,20.0,261.0,0.0,9.728122605363986,0.0,14.0
41712,neuroendocrine neoplasm,oncology,0.0594059405940594,20.110877192982457,4.0,69.0,12.0,190.0,21.46666666666667,1.3557894736842109,2.0,2.0
42504,pancreatic neoplasm,oncology,0.3064516129032258,-14.074418604651164,3.0,14.0,19.0,43.0,0.0,14.074418604651164,0.0,4.0
42550,breast neoplasm,oncology,0.8378378378378378,10.558064516129033,19.0,8.0,31.0,6.0,10.558064516129033,0.0,3.0,0.0
42560,respiratory failure,other,0.04,-6.556666666666668,1.0,35.0,3.0,72.0,0.0,6.556666666666668,0.0,7.0
43284,anemia,other,0.18627450980392157,-7.573012048192771,15.0,62.0,19.0,83.0,0.0,7.573012048192771,0.0,3.0
45022,gastroesophageal junction adenocarcinoma,oncology,0.09259259259259259,-12.085986394557825,1.0,74.0,15.0,147.0,0.0,12.085986394557825,0.0,8.0
46370,peptic ulcer disease,other,0.5,0.0,4.0,9.0,5.0,5.0,0.0,0.0,0.0,0.0
46674,spinal cord injury,other,0.23931623931623933,-15.68,2.0,39.0,28.0,89.0,0.0,15.68,0.0,16.0
46932,myelofibrosis,other,0.032520325203252036,60.22571428571429,4.0,77.0,4.0,119.0,66.98,6.754285714285714,2.0,6.0
47354,alopecia,other,0.17647058823529413,0.0,2.0,9.0,3.0,14.0,0.0,0.0,0.0,0.0
47396,"peripheral T-cell lymphoma, not otherwise specified",oncology,0.12631578947368421,9.820301204819277,3.0,37.0,12.0,83.0,13.815,3.9946987951807222,1.0,2.0
47398,acute lymphoblastic leukemia,oncology,0.09854014598540146,19.22005698005698,8.0,159.0,27.0,247.0,28.59851851851852,9.378461538461538,4.0,12.0
47407,asthma,other,0.13529411764705881,-3.1812244897959183,47.0,169.0,23.0,147.0,0.0,3.1812244897959183,0.0,2.0
47408,atopic eczema,other,0.125,25.40571428571429,20.0,96.0,11.0,77.0,32.334545454545456,6.928831168831168,2.0,3.0
47415,breast carcinoma,oncology,0.22093023255813954,-3.709253731343284,13.0,18.0,19.0,67.0,0.0,3.709253731343284,0.0,1.0
47421,cardiovascular disorder,other,0.476,6.873205465392264,281.0,103.0,119.0,131.0,8.399159663865547,1.5259541984732825,5.0,1.0
47434,congestive heart failure,other,0.3333333333333333,0.0,34.0,35.0,32.0,64.0,0.0,0.0,0.0,0.0
47437,diabetes mellitus,metabolic,0.2774566473988439,39.593680000000006,57.0,103.0,48.0,125.0,41.59,1.99632,8.0,1.0
47444,epilepsy,other,0.525,2.3232330827067713,53.0,59.0,84.0,76.0,20.064285714285717,17.741052631578945,15.0,12.0
47451,gastric adenocarcinoma,oncology,0.1079136690647482,-7.627096774193548,1.0,112.0,15.0,124.0,0.0,7.627096774193548,0.0,4.0
47462,irritable bowel syndrome,other,0.11764705882352941,-0.923047619047619,15.0,60.0,14.0,105.0,0.0,0.923047619047619,0.0,1.0
47470,lymphoma,oncology,0.0149812734082397,-1.873764258555133,8.0,244.0,4.0,263.0,0.0,1.873764258555133,0.0,4.0
47499,systemic sclerosis,other,0.16129032258064516,-1.691794871794872,3.0,51.0,15.0,78.0,0.0,1.691794871794872,0.0,2.0
47537,type 2 diabetes mellitus,metabolic,0.23484848484848486,-1.2361386138613863,38.0,338.0,62.0,202.0,0.0,1.2361386138613863,0.0,1.0
47542,cirrhosis of liver,other,0.07547169811320754,0.0,7.0,59.0,8.0,98.0,0.0,0.0,0.0,0.0
