model,disease_index,auc_assoc,n_assoc,auc_drug,n_drug,hits_at_50
m1   7 features,28083,0.7052725680243794,95,,,
m1   7 features,28133,0.647675480447187,335,,,
m1   7 features,28293,0.9016407599309154,69,,,
m1   7 features,28302,0.5531774960380349,25,0.9956616052060737,2.0,2.0
m1   7 features,28400,0.8902850202581032,68,,,
m1   7 features,28611,0.8337501041927149,18,,,
m1   7 features,28650,0.7335750814345747,85,,,
m1   7 features,36560,0.8989368748758031,62,,,
m1   7 features,36564,0.7286671592733203,26,,,
m1   7 features,36637,0.7652383694432997,61,0.7992855179994504,3.0,0.0
m1   7 features,36818,0.7928841638403339,16,,,
m1   7 features,37110,0.659786835305093,59,0.9543188032813253,1.0,0.0
m1   7 features,37111,0.9270313329792884,7,,,
m1   7 features,37143,0.6647443343684272,762,0.7485689509534336,34.0,1.0
m1   7 features,37230,0.5829173493884083,46,0.42645318482422556,5.0,0.0
m1   7 features,37243,0.7503422208686037,154,,,
m1   7 features,37323,0.7038743339253997,4,,,
m1   7 features,37342,0.8406444624966152,22,,,
m1   7 features,37454,0.7949206349206349,3,,,
m1   7 features,37461,0.8514722808970289,346,0.9691719388514075,11.0,1.0
m1   7 features,37492,0.951303317535545,16,,,
m1   7 features,37525,0.6638900631897472,53,0.7257744453027195,11.0,1.0
m1   7 features,37534,0.8247307604853547,70,,,
m1   7 features,37550,0.8690584502592165,47,,,
m1   7 features,37570,0.8437268151386316,66,,,
m1   7 features,37584,0.5853157187639946,22,,,
m1   7 features,37630,0.7167713422270496,221,,,
m1   7 features,37785,0.6592835299257318,14,,,
m1   7 features,37813,0.7099616858237547,14,,,
m1   7 features,37861,0.6528018578698581,133,0.987719964552475,1.0,0.0
m1   7 features,37922,0.6490733024294649,109,,,
m1   7 features,38222,0.5745780789259051,30,,,
m1   7 features,38232,0.5837922073146066,310,0.778156406012822,27.0,0.0
m1   7 features,38250,0.6883411670296916,13,,,
m1   7 features,38404,0.8095347359502966,16,0.8761958356781092,3.0,0.0
m1   7 features,38520,0.991533180778032,2,,,
m1   7 features,38840,0.9973105134474327,2,,,
m1   7 features,38860,0.8997567482736974,18,,,
m1   7 features,38912,0.9130472030634669,59,0.6662734733456317,27.0,4.0
m1   7 features,38913,0.9534638265208213,18,,,
m1   7 features,38914,0.8815845498783454,20,,,
m1   7 features,38964,0.8683511695104086,101,,,
m1   7 features,38970,0.8662026771782869,22,,,
m1   7 features,39067,0.573170731707317,13,,,
m1   7 features,39154,0.6385002040038259,47,,,
m1   7 features,39167,0.8048926323703843,53,0.9128065395095368,3.0,0.0
m1   7 features,39191,0.7853215666544286,39,0.9777836318932209,2.0,0.0
m1   7 features,39234,0.9963460104399702,10,,,
m1   7 features,39263,0.19912923923006415,2,,,
m1   7 features,39282,0.9290646936065263,15,,,
m1   7 features,39300,0.6495595420664075,11,,,
m1   7 features,39310,0.7394765134865566,124,0.9868317092441401,1.0,0.0
m1   7 features,39444,0.6980698529411765,17,,,
m1   7 features,39510,0.6942954688017738,202,0.7277004183141367,9.0,0.0
m1   7 features,39587,0.6730215118174718,43,,,
m1   7 features,39599,0.9092480291085506,34,,,
m1   7 features,39719,0.671407727913061,20,0.5919206094627105,1.0,0.0
m1   7 features,39767,0.8857419764963825,196,,,
m1   7 features,39833,0.742256684851578,256,0.833530106257379,1.0,0.0
m1   7 features,40042,0.8787897247089544,343,,,
m1   7 features,40056,0.9564348521183054,21,,,
m1   7 features,40072,0.6881620762711864,16,,,
m1   7 features,40154,0.6801895515487748,9,,,
m1   7 features,40170,0.7153411306042885,15,0.2621613748907661,2.0,0.0
m1   7 features,40213,0.6351143493219996,15,,,
m1   7 features,40234,0.21341502741051274,7,,,
m1   7 features,40442,0.8505473309373867,78,0.9244651776458392,3.0,0.0
m1   7 features,40767,0.4656010656010656,5,,,
m1   7 features,40769,0.885437018450137,447,,,
m1   7 features,40787,0.6982408347954566,13,0.7674278846153846,17.0,0.0
m1   7 features,40953,0.7601655945645716,34,0.9138870721604535,1.0,0.0
m1   7 features,41049,0.9061013090411003,683,,,
m1   7 features,41102,0.7977883439356767,39,,,
m1   7 features,41140,0.8467624046836038,134,,,
m1   7 features,41141,0.4927073837739289,6,,,
m1   7 features,41231,0.8053003265244134,13,,,
m1   7 features,41287,0.8620429493251957,183,0.5352009492854564,21.0,0.0
m1   7 features,41293,0.6083598417863907,454,,,
m1   7 features,41313,0.805817856694692,26,,,
m1   7 features,41324,0.8702431080892227,105,0.6756076060949503,1.0,0.0
m1   7 features,41370,0.8687386381058765,19,,,
m1   7 features,41371,0.9971302722904432,8,,,
m1   7 features,41400,0.7431666622736498,11,0.8141228070175439,40.0,0.0
m1   7 features,41402,0.518092012418854,10,0.41300675675675674,1.0,0.0
m1   7 features,41416,0.8626194795881232,345,,,
m1   7 features,41448,0.8230026285225258,21,,,
m1   7 features,41503,0.8516302016302016,28,,,
m1   7 features,41554,0.8273266161442187,108,,,
m1   7 features,41562,0.7211248128033801,86,0.7155647382920111,3.0,0.0
m1   7 features,41563,0.7759780621572212,40,,,
m1   7 features,41590,0.5080143540669857,11,0.29363295880149815,1.0,0.0
m1   7 features,41613,0.8857067188200302,27,,,
m1   7 features,41628,0.9590577806209875,23,,,
m1   7 features,41675,0.9156408676420714,63,,,
m1   7 features,41676,0.8709342471840976,41,,,
m1   7 features,41681,0.8631425850129997,46,,,
m1   7 features,41683,0.875418632620964,54,,,
m1   7 features,41684,0.8033808172640763,98,,,
m1   7 features,41688,0.8336179705502623,43,,,
m1   7 features,41690,0.8686573453361425,46,,,
m1   7 features,41691,0.8353482953712894,177,,,
m1   7 features,41692,0.8239048152679787,155,,,
m1   7 features,41694,0.8340243683927612,50,,,
m1   7 features,41695,0.8317752873984986,206,,,
m1   7 features,41696,0.8733397401088104,447,,,
m1   7 features,41712,0.5835730630925139,38,0.6971530570161872,12.0,0.0
m1   7 features,41713,0.8726651480637814,20,,,
m1   7 features,41731,0.6794957780873274,21,,,
m1   7 features,41740,0.8368700758138844,14,,,
m1   7 features,41790,0.7969398080708114,29,,,
m1   7 features,41854,0.8510996644647164,24,,,
m1   7 features,41863,0.6566568914956011,11,,,
m1   7 features,41880,0.7554220850782455,20,,,
m1   7 features,42001,0.8886416228376672,570,0.9762835982358326,1.0,0.0
m1   7 features,42106,0.8288738441626324,52,0.9941421922644841,2.0,1.0
m1   7 features,42110,0.7813402657423455,20,,,
m1   7 features,42263,0.6828446502057613,15,,,
m1   7 features,42290,0.8327649471184977,25,,,
m1   7 features,42291,0.8717288948222155,44,,,
m1   7 features,42351,0.8051824404302403,17,,,
m1   7 features,42371,0.6019590016239916,47,,,
m1   7 features,42380,0.9315393056664006,16,,,
m1   7 features,42413,0.8106739405962418,60,,,
m1   7 features,42432,0.6736133777726698,154,0.6183244454749208,3.0,1.0
m1   7 features,42464,0.8160431412200876,10,,,
m1   7 features,42470,0.7489853262566344,2,,,
m1   7 features,42484,0.8466745190420102,50,,,
m1   7 features,42487,0.7457062023939064,25,,,
m1   7 features,42494,0.6703292802560925,36,,,
m1   7 features,42502,0.8688245160705381,45,,,
m1   7 features,42504,0.8522229565983697,90,0.4401243417606352,19.0,1.0
m1   7 features,42510,0.9125612375887454,82,,,
m1   7 features,42523,0.5858242089018687,571,0.5140667267808837,20.0,0.0
m1   7 features,42550,0.8177609008773078,35,0.6900061638929148,33.0,3.0
m1   7 features,42560,0.7242801682303461,11,0.6038461538461538,3.0,0.0
m1   7 features,42562,0.8598922842903254,88,,,
m1   7 features,42563,0.8087951173468886,101,,,
m1   7 features,42570,0.8813112712007806,285,,,
m1   7 features,42571,0.7155032467532467,8,0.6284834737524303,2.0,0.0
m1   7 features,42581,,0,,,
m1   7 features,42590,0.8909548117515292,600,,,
m1   7 features,42601,0.5717053251347309,146,0.4344318181818182,1.0,0.0
m1   7 features,42603,0.6313517441860466,25,0.6304285380872875,27.0,2.0
m1   7 features,42612,0.8756460271414758,39,,,
m1   7 features,42664,0.8906033376123235,57,,,
m1   7 features,42714,0.9182500142075054,22,,,
m1   7 features,42754,0.7402563909017713,32,,,
m1   7 features,42762,0.8812925621696874,446,,,
m1   7 features,42770,0.5941320905993185,6,,,
m1   7 features,42771,0.8577975183305132,12,,,
m1   7 features,42790,0.51760338727452,7,0.9120745542949756,2.0,0.0
m1   7 features,42800,0.7067057291666666,16,,,
m1   7 features,42841,0.614660121916643,16,,,
m1   7 features,42877,0.6678352490421456,36,0.20445586975149957,1.0,0.0
m1   7 features,42902,0.8355140186915888,18,0.9061699650756694,3.0,1.0
m1   7 features,42911,0.7876642297223996,41,,,
m1   7 features,42929,0.8687028197490101,17,,,
m1   7 features,42934,0.5852000765843385,9,0.7853868194842407,1.0,0.0
m1   7 features,42940,0.9038965116085758,661,0.34793128478103075,1.0,0.0
m1   7 features,42973,0.5722055779392464,71,,,
m1   7 features,43013,0.7228034248913028,21,,,
m1   7 features,43040,0.7188545861134272,317,0.4909720273178034,2.0,0.0
m1   7 features,43065,0.8902342255251445,45,,,
m1   7 features,43153,0.6734271523178808,4,,,
m1   7 features,43180,0.5623569794050344,19,,,
m1   7 features,43270,0.7830404080905283,36,,,
m1   7 features,43284,0.7526508716495768,414,0.5502118499965992,23.0,2.0
m1   7 features,43291,0.7821579460513487,34,,,
m1   7 features,43370,0.9733845575870336,38,,,
m1   7 features,43509,0.8184748025160913,64,,,
m1   7 features,43512,0.6330651918887213,6,,,
m1   7 features,43519,0.659782960803369,10,,,
m1   7 features,43531,0.7018450074958068,17,,,
m1   7 features,43541,0.8632371416974313,105,,,
m1   7 features,43566,0.7431852986217458,8,,,
m1   7 features,43632,0.666753112033195,12,0.333677153171738,1.0,0.0
m1   7 features,43641,0.7598814229249012,8,,,
m1   7 features,43664,0.4601092527650391,8,,,
m1   7 features,43742,0.5713258814225517,65,,,
m1   7 features,43780,0.6348822084116201,22,,,
m1   7 features,43790,0.8459032813482997,264,,,
m1   7 features,43791,0.5229749265868534,38,,,
m1   7 features,43830,0.8458748906007643,37,,,
m1   7 features,43832,0.594841414509661,10,,,
m1   7 features,43844,0.598979050649695,14,,,
m1   7 features,43861,0.6847252362222523,96,0.4284853354760948,2.0,0.0
