disease_family_id,anchor_name,disease,n_pos,auc_disease,auc_lo95,auc_hi95,auc_trustworthy,hits_at_20,hits_at_50
36637,stomach cancer,gastric adenocarcinoma,677,0.9469,0.9351,0.9588,1,20,50
36637,stomach cancer,gastric carcinoma,701,0.9422,0.9302,0.9543,1,20,50
36637,stomach cancer,gastric intestinal type adenocarcinoma,545,0.9407,0.9269,0.9546,1,19,49
36637,stomach cancer,gastric tubular adenocarcinoma,27,0.9152,0.8425,0.9879,0,2,4
36637,stomach cancer,gastric small cell neuroendocrine carcinoma,54,0.8918,0.8349,0.9487,1,8,11
36637,stomach cancer,signet ring cell gastric adenocarcinoma,64,0.8828,0.8287,0.9368,1,4,9
36637,stomach cancer,gastric cancer,61,0.7602,0.6896,0.8308,1,12,18
37143,obesity,morbid obesity,41,0.7599,0.6739,0.846,1,0,0
37143,obesity,obesity disorder,762,0.7075,0.6863,0.7286,1,14,23
43521,hematologic cancer,"peripheral T-cell lymphoma, not otherwise specified",135,0.9481,0.922,0.9742,1,14,30
43521,hematologic cancer,myeloid neoplasm,50,0.9431,0.8984,0.9879,1,9,13
43521,hematologic cancer,lymphoid neoplasm,680,0.9356,0.9228,0.9485,1,20,50
43521,hematologic cancer,acute leukemia,16,0.9291,0.8418,1.0164,0,3,7
43521,hematologic cancer,plasma cell myeloma,674,0.9283,0.9147,0.9418,1,20,50
43521,hematologic cancer,neoplasm of mature B-cells,177,0.928,0.9015,0.9544,1,13,27
43521,hematologic cancer,lymphoplasmacytic lymphoma,25,0.9231,0.8507,0.9955,0,2,6
43521,hematologic cancer,extranodal nasal NK/T cell lymphoma,447,0.9201,0.9027,0.9376,1,18,46
43521,hematologic cancer,small intestinal diffuse large B-cell lymphoma,165,0.9198,0.891,0.9485,1,6,16
43521,hematologic cancer,nodal marginal zone B-cell lymphoma,43,0.9191,0.8626,0.9755,1,3,4
43521,hematologic cancer,angioimmunoblastic T-cell lymphoma,92,0.9184,0.8796,0.9571,1,9,15
43521,hematologic cancer,lymphoma,48,0.9153,0.8608,0.9698,1,8,9
43521,hematologic cancer,acute lymphoblastic leukemia,244,0.9152,0.891,0.9394,1,16,34
43521,hematologic cancer,Burkitt lymphoma,258,0.9121,0.8882,0.936,1,14,34
43521,hematologic cancer,T-cell large granular lymphocyte leukemia,155,0.9113,0.8803,0.9422,1,10,22
43521,hematologic cancer,marginal zone lymphoma,78,0.9105,0.8667,0.9543,1,8,12
