disease_index,disease_name,pool,known,auc_disease,rank_enrichment,module_size,hits_at_50,prec_at_50,base_rate,enrich_at_50,novel_linked_total,hits_top20,lift_top20,hits_top50,lift_top50
47469,lung adenocarcinoma,12648,705,0.9371,17.9404,12648,50,1.0,0.0557,17.9404,,,,,
48537,HER2 positive breast carcinoma,12272,599,0.9365,19.668,12272,48,0.96,0.0488,19.668,,,,,
47604,non-small cell lung carcinoma,12310,621,0.9343,19.4264,12310,49,0.98,0.0504,19.4264,33.0,0.0,0.0,1.0,7.0842
42562,luminal B breast carcinoma,7439,88,0.9106,33.8136,7439,20,0.4,0.0118,33.8136,,,,,
47807,triple-negative breast carcinoma,2563,8,0.8949,12.815,2563,2,0.04,0.0031,12.815,,,,,
47415,breast carcinoma,13290,864,0.8608,15.0743,13290,49,0.98,0.065,15.0743,19.0,0.0,0.0,0.0,0.0
42563,luminal A breast carcinoma,8157,101,0.8467,22.6135,8157,14,0.28,0.0124,22.6135,,,,,
52236,lung cancer,6253,53,0.7797,23.5962,6253,10,0.2,0.0085,23.5962,4.0,0.0,0.0,0.0,0.0
47654,chronic kidney disease,5117,35,0.7375,2.924,5117,1,0.02,0.0068,2.924,11.0,0.0,0.0,0.0,0.0
37143,obesity disorder,13126,762,0.7075,7.9238,13126,23,0.46,0.0581,7.9238,30.0,1.0,20.6067,4.0,32.9707
49721,breast cancer,9067,138,0.7072,27.5952,9067,21,0.42,0.0152,27.5952,43.0,0.0,0.0,3.0,12.4591
47437,diabetes mellitus,13445,968,0.6781,8.8893,13445,32,0.64,0.072,8.8893,48.0,8.0,103.975,12.0,62.385
47537,type 2 diabetes mellitus,13566,1081,0.6238,4.2668,13566,17,0.34,0.0797,4.2668,62.0,0.0,0.0,0.0,0.0
