act3_family,subtype,gene,rank_in_subtype,n_leaves_in_family,n_leaves_sharing,scope
breast,HER2 positive breast carcinoma,TP53,1,4,4,common
breast,HER2 positive breast carcinoma,EP300,2,4,4,common
breast,HER2 positive breast carcinoma,PIK3R1,3,4,3,partial
breast,HER2 positive breast carcinoma,CREBBP,4,4,2,partial
breast,HER2 positive breast carcinoma,PIK3CA,5,4,3,partial
breast,HER2 positive breast carcinoma,CTNNB1,6,4,4,common
breast,HER2 positive breast carcinoma,JAK2,7,4,3,partial
breast,HER2 positive breast carcinoma,PTPN11,8,4,3,partial
breast,HER2 positive breast carcinoma,HRAS,9,4,3,partial
breast,HER2 positive breast carcinoma,KRAS,10,4,3,partial
breast,HER2 positive breast carcinoma,EGFR,11,4,2,partial
breast,HER2 positive breast carcinoma,BRCA1,12,4,2,partial
breast,HER2 positive breast carcinoma,SMAD3,13,4,3,partial
breast,HER2 positive breast carcinoma,ERBB2,14,4,2,partial
breast,HER2 positive breast carcinoma,MAPK1,15,4,2,partial
breast,HER2 positive breast carcinoma,STAT3,16,4,3,partial
breast,HER2 positive breast carcinoma,ERBB3,17,4,3,partial
breast,HER2 positive breast carcinoma,ATM,18,4,4,common
breast,HER2 positive breast carcinoma,RUNX1,19,4,3,partial
breast,HER2 positive breast carcinoma,SRC,20,4,1,specific
breast,HER2 positive breast carcinoma,NRAS,21,4,2,partial
breast,HER2 positive breast carcinoma,ERBB4,22,4,3,partial
breast,HER2 positive breast carcinoma,SMARCA4,23,4,2,partial
breast,HER2 positive breast carcinoma,SMAD4,24,4,3,partial
breast,HER2 positive breast carcinoma,FGFR1,25,4,4,common
breast,HER2 positive breast carcinoma,SMAD2,26,4,1,specific
breast,HER2 positive breast carcinoma,NTRK1,27,4,2,partial
breast,HER2 positive breast carcinoma,JAK1,28,4,1,specific
breast,HER2 positive breast carcinoma,AKT1,29,4,2,partial
breast,HER2 positive breast carcinoma,BRAF,30,4,2,partial
breast,HER2 positive breast carcinoma,ESR1,31,4,3,partial
breast,HER2 positive breast carcinoma,SOS1,32,4,2,partial
breast,HER2 positive breast carcinoma,KDR,33,4,2,partial
breast,HER2 positive breast carcinoma,KIT,34,4,2,partial
breast,HER2 positive breast carcinoma,CDK4,35,4,2,partial
breast,HER2 positive breast carcinoma,CBL,36,4,1,specific
breast,HER2 positive breast carcinoma,MSH2,37,4,4,common
breast,HER2 positive breast carcinoma,BLM,38,4,3,partial
breast,HER2 positive breast carcinoma,BRCA2,39,4,4,common
breast,HER2 positive breast carcinoma,STAT5B,40,4,2,partial
breast,HER2 positive breast carcinoma,YAP1,41,4,2,partial
breast,HER2 positive breast carcinoma,GATA2,42,4,1,specific
breast,HER2 positive breast carcinoma,ARID1B,43,4,1,specific
breast,HER2 positive breast carcinoma,CCND1,44,4,1,specific
breast,HER2 positive breast carcinoma,ARID1A,45,4,2,partial
breast,HER2 positive breast carcinoma,FGFR2,46,4,4,common
breast,HER2 positive breast carcinoma,ABL1,47,4,1,specific
breast,HER2 positive breast carcinoma,LEF1,48,4,1,specific
breast,HER2 positive breast carcinoma,RB1,49,4,2,partial
breast,HER2 positive breast carcinoma,MYC,50,4,2,partial
breast,luminal A breast carcinoma,EP300,1,4,4,common
breast,luminal A breast carcinoma,ATM,2,4,4,common
breast,luminal A breast carcinoma,MSH2,3,4,4,common
breast,luminal A breast carcinoma,PIK3R1,4,4,3,partial
breast,luminal A breast carcinoma,WRN,5,4,1,specific
breast,luminal A breast carcinoma,ESR1,6,4,3,partial
breast,luminal A breast carcinoma,TP53,7,4,4,common
breast,luminal A breast carcinoma,FGFR1,8,4,4,common
breast,luminal A breast carcinoma,STAT3,9,4,3,partial
breast,luminal A breast carcinoma,PIK3CA,10,4,3,partial
breast,luminal A breast carcinoma,FGFR2,11,4,4,common
breast,luminal A breast carcinoma,BLM,12,4,3,partial
breast,luminal A breast carcinoma,ERBB4,13,4,3,partial
breast,luminal A breast carcinoma,SMAD3,14,4,3,partial
breast,luminal A breast carcinoma,CTNNB1,15,4,4,common
breast,luminal A breast carcinoma,MET,16,4,2,partial
breast,luminal A breast carcinoma,RAD51,17,4,3,partial
breast,luminal A breast carcinoma,RAD50,18,4,2,partial
breast,luminal A breast carcinoma,AKT1,19,4,2,partial
breast,luminal A breast carcinoma,GAB2,20,4,1,specific
breast,luminal A breast carcinoma,PTPN11,21,4,3,partial
breast,luminal A breast carcinoma,NBN,22,4,2,partial
breast,luminal A breast carcinoma,KMT2D,23,4,1,specific
breast,luminal A breast carcinoma,THRA,24,4,1,specific
breast,luminal A breast carcinoma,PIP4K2B,25,4,1,specific
breast,luminal A breast carcinoma,BARD1,26,4,3,partial
breast,luminal A breast carcinoma,SMAD4,27,4,3,partial
breast,luminal A breast carcinoma,HRAS,28,4,3,partial
breast,luminal A breast carcinoma,ERBB3,29,4,3,partial
breast,luminal A breast carcinoma,NCOR2,30,4,1,specific
breast,luminal A breast carcinoma,JAK2,31,4,3,partial
breast,luminal A breast carcinoma,NANOG,32,4,1,specific
breast,luminal A breast carcinoma,BRCA2,33,4,4,common
breast,luminal A breast carcinoma,MRE11,34,4,1,specific
breast,luminal A breast carcinoma,IRS2,35,4,1,specific
breast,luminal A breast carcinoma,HCN2,36,4,1,specific
breast,luminal A breast carcinoma,KRAS,37,4,3,partial
breast,luminal A breast carcinoma,PPARG,38,4,1,specific
breast,luminal A breast carcinoma,THRB,39,4,1,specific
breast,luminal A breast carcinoma,NOTCH1,40,4,1,specific
breast,luminal A breast carcinoma,HNF4A,41,4,1,specific
breast,luminal A breast carcinoma,STAT5A,42,4,1,specific
breast,luminal A breast carcinoma,YAP1,43,4,2,partial
breast,luminal A breast carcinoma,CREBBP,44,4,2,partial
breast,luminal A breast carcinoma,BRIP1,45,4,2,partial
breast,luminal A breast carcinoma,HCN4,46,4,1,specific
breast,luminal A breast carcinoma,CFLAR,47,4,1,specific
breast,luminal A breast carcinoma,FOXO1,48,4,1,specific
breast,luminal A breast carcinoma,RUNX1,49,4,3,partial
breast,luminal A breast carcinoma,POLD1,50,4,1,specific
breast,luminal B breast carcinoma,EP300,1,4,4,common
breast,luminal B breast carcinoma,MSH6,2,4,1,specific
breast,luminal B breast carcinoma,PIK3R1,3,4,3,partial
breast,luminal B breast carcinoma,PIK3CA,4,4,3,partial
breast,luminal B breast carcinoma,BRCA1,5,4,2,partial
breast,luminal B breast carcinoma,TP53,6,4,4,common
breast,luminal B breast carcinoma,ERBB3,7,4,3,partial
breast,luminal B breast carcinoma,KRAS,8,4,3,partial
breast,luminal B breast carcinoma,EGFR,9,4,2,partial
breast,luminal B breast carcinoma,CTNNB1,10,4,4,common
breast,luminal B breast carcinoma,PTPN11,11,4,3,partial
