disease_index,disease,disease_family_id,hop_depth,n_pos,auc_disease,auc_trustworthy,act3_family,act3_role,in_act3,act4_area,act4_order,in_act4,target_rank_sum,n_neg,auc_se,auc_hi95,auc_lo95,hits_at_10,hits_at_20,recall_at_20,hits_at_50,count,anchor_name,disease_split_key,split_key_name,split_key_rule
48537,HER2 positive breast carcinoma,49721,3.0,599,0.9364771263451022,True,breast,leaf,True,oncology,1.0,True,623860,11673,0.006952356081144502,0.9501037442641453,0.922850508426059,9,19,0.03171953255425709,48,12272,breast cancer,45109,thoracic cancer,under a split key
47807,triple-negative breast carcinoma,49721,4.0,8,0.8948630136986302,False,breast,leaf,False,oncology,2.0,True,2185,2555,0.07456158496517788,1.0410037202303788,0.7487223071668816,0,1,0.125,2,2563,breast cancer,45109,thoracic cancer,under a split key
42562,luminal B breast carcinoma,49721,4.0,88,0.9106012169030806,True,breast,leaf,True,oncology,3.0,True,61747,7351,0.021020453945310325,0.9518013066358888,0.8694011271702724,6,11,0.125,20,7439,breast cancer,45109,thoracic cancer,under a split key
47766,endometrium adenocarcinoma,44244,3.0,98,0.9537921892918332,True,uterine,leaf,True,oncology,4.0,True,38456,7421,0.014826768906473262,0.9828526563485208,0.9247317222351455,9,16,0.16326530612244897,28,7519,uterine cancer,44244,uterine cancer,under a split key
48493,endometrial serous adenocarcinoma,44244,2.0,90,0.92424374256794,True,uterine,leaf,True,oncology,5.0,True,56335,7662,0.01934837895045277,0.9621665653108273,0.8863209198250526,7,11,0.12222222222222222,21,7752,uterine cancer,44244,uterine cancer,under a split key
47451,gastric adenocarcinoma,36637,2.0,677,0.9469489200591642,True,stomach,leaf,True,oncology,6.0,True,654097,11822,0.0060256467359673885,0.9587591876616602,0.9351386524566682,10,20,0.029542097488921712,50,12499,stomach cancer,42540,gastric neoplasm,under a split key
47469,lung adenocarcinoma,52236,3.0,705,0.937064888005259,True,,,False,oncology,7.0,True,778767,11943,0.006384543112382236,0.9495785925055282,0.9245511835049898,10,20,0.028368794326241134,50,12648,lung cancer,45109,thoracic cancer,under a split key
51394,rheumatoid arthritis,51394,0.0,176,0.7311649757897164,True,,,False,autoimmune,8.0,True,425986,8674,0.021829979585307552,0.7739517357769192,0.6883782158025136,1,2,0.011363636363636364,7,8850,rheumatoid arthritis,51394,rheumatoid arthritis,lifted to parent
37525,psoriatic arthritis,37525,0.0,53,0.6891909932360271,True,,,False,autoimmune,9.0,True,113183,6784,0.040702442490447424,0.768967780517304,0.6094142059547502,1,1,0.018867924528301886,2,6837,psoriatic arthritis,51394,rheumatoid arthritis,under a split key
54093,dilated cardiomyopathy,54093,,180,0.8394443132934635,True,,,False,cardio_renal_metabolic,10.0,True,261131,8472,0.018545643207282355,0.8757937739797369,0.80309485260719,8,11,0.06111111111111111,24,8652,,54093,dilated cardiomyopathy,self (no key above)
54081,familial hypercholesterolemia,54081,,56,0.8200538822879249,True,,,False,cardio_renal_metabolic,11.0,True,53694,5170,0.03452303849692939,0.8877190377419064,0.7523887268339433,5,11,0.19642857142857142,13,5226,,54081,familial hypercholesterolemia,self (no key above)
47437,diabetes mellitus,47437,,968,0.6780693004053078,True,,,False,cardio_renal_metabolic,12.0,True,4357190,12477,0.009766754475414096,0.6972121391771194,0.6589264616334961,10,18,0.01859504132231405,32,13445,,47437,diabetes mellitus,lifted to parent
49721,breast cancer,49721,0.0,138,0.7071868086563728,True,breast,not_leaf,True,,,False,370396,8929,0.02503788222449056,0.7562610578163743,0.6581125594963714,6,13,0.09420289855072464,21,9067,breast cancer,45109,thoracic cancer,under a split key
47415,breast carcinoma,49721,1.0,864,0.8608353117120018,True,breast,not_leaf,True,,,False,1867761,12426,0.008082397181879857,0.8766768101884863,0.8449938132355173,10,20,0.023148148148148147,49,13290,breast cancer,45109,thoracic cancer,under a split key
46673,female breast carcinoma,49721,2.0,544,0.935854423114624,True,breast,not_leaf,True,,,False,546115,11402,0.007325912364813895,0.9502132113496591,0.9214956348795886,10,20,0.03676470588235294,50,11946,breast cancer,45109,thoracic cancer,under a split key
48428,breast carcinoma by gene expression profile,49721,2.0,394,0.940317096035096,True,breast,not_leaf,True,,,False,330696,10754,0.008326385600741535,0.9566368118125493,0.9239973802576426,10,19,0.048223350253807105,46,11148,breast cancer,45109,thoracic cancer,under a split key
48546,invasive breast carcinoma,49721,2.0,123,0.935055330421578,True,breast,not_leaf,True,,,False,71907,8047,0.015461574028463043,0.9653600155173656,0.9047506453257905,4,8,0.06504065040650407,19,8170,breast cancer,45109,thoracic cancer,under a split key
47414,breast adenocarcinoma,49721,2.0,53,0.9043310142391442,True,breast,not_leaf,True,,,False,35327,6685,0.0278644240473963,0.9589452853720409,0.8497167431062475,5,9,0.16981132075471697,16,6738,breast cancer,48761,integumentary system cancer,under a split key
47888,breast ductal adenocarcinoma,49721,3.0,691,0.9510841405571026,True,breast,not_leaf,True,,,False,640505,11876,0.005744993142953316,0.962344327117291,0.9398239539969141,10,20,0.02894356005788712,50,12567,breast cancer,48761,integumentary system cancer,under a split key
47832,breast lobular carcinoma,49721,3.0,513,0.933734673684906,True,breast,not_leaf,True,,,False,512915,11210,0.007654254452651791,0.9487370124121036,0.9187323349577087,10,19,0.037037037037037035,48,11723,breast cancer,48761,integumentary system cancer,under a split key
48312,metaplastic breast carcinoma,49721,3.0,345,0.9257634861769038,True,breast,not_leaf,True,,,False,326020,10399,0.009809580464636968,0.9449902638875923,0.9065367084662154,8,18,0.05217391304347826,41,10744,breast cancer,45109,thoracic cancer,under a split key
48588,mixed lobular and ductal breast carcinoma,49721,3.0,181,0.9478921167290134,True,breast,not_leaf,True,,,False,100355,8894,0.01153616374506652,0.9705029976693438,0.925281235788683,7,15,0.08287292817679558,32,9075,breast cancer,48761,integumentary system cancer,under a split key
44995,adenoid cystic breast carcinoma,49721,3.0,70,0.8989962897033907,True,breast,not_leaf,True,,,False,49580,6661,0.024807735722847828,0.9476194517201725,0.850373127686609,5,8,0.11428571428571428,18,6731,breast cancer,48761,integumentary system cancer,under a split key
42563,luminal A breast carcinoma,49721,4.0,101,0.8466747618158043,True,breast,leaf,True,,,False,129905,8056,0.024320888432907046,0.8943437031443021,0.7990058204873064,4,9,0.0891089108910891,14,8157,breast cancer,45109,thoracic cancer,under a split key
36637,gastric cancer,36637,0.0,61,0.760184156735175,True,stomach,not_leaf,True,,,False,89766,6007,0.036010601025023924,0.8307649347442219,0.6896033787261282,7,12,0.19672131147540983,18,6068,stomach cancer,42540,gastric neoplasm,under a split key
47385,gastric carcinoma,36637,1.0,701,0.9422338594326636,True,stomach,not_leaf,True,,,False,730441,11962,0.006157870046814596,0.9543032847244203,0.9301644341409071,10,20,0.028530670470756064,50,12663,stomach cancer,42540,gastric neoplasm,under a split key
48524,gastric small cell neuroendocrine carcinoma,36637,2.0,54,0.8917952339562509,True,stomach,leaf,True,,,False,37338,6136,0.02905240906040693,0.9487379557146485,0.8348525121978534,5,8,0.14814814814814814,11,6190,stomach cancer,42540,gastric neoplasm,under a split key
47452,gastric intestinal type adenocarcinoma,36637,3.0,545,0.9407120332723428,True,stomach,not_leaf,True,,,False,517852,11422,0.007062723082208268,0.9545549705134708,0.9268690960312145,10,19,0.03486238532110092,49,11967,stomach cancer,42540,gastric neoplasm,under a split key
48676,signet ring cell gastric adenocarcinoma,36637,3.0,64,0.8827754958555358,True,stomach,leaf,True,,,False,52766,6756,0.027565077221293956,0.936803047209272,0.8287479445017997,2,4,0.0625,9,6820,stomach cancer,42540,gastric neoplasm,under a split key
48727,uterine carcinosarcoma,44244,1.0,525,0.9262840052961756,True,uterine,leaf,True,,,False,573731,11257,0.007934951580098182,0.941836510393168,0.910731500199183,9,19,0.03619047619047619,44,11782,uterine cancer,44244,uterine cancer,under a split key
37570,endometrial cancer,44244,1.0,66,0.866357461138285,True,uterine,not_leaf,True,,,False,62375,6821,0.028573381022062624,0.9223612879415278,0.8103536343350423,5,10,0.15151515151515152,16,6887,uterine cancer,44244,uterine cancer,under a split key
43790,endometrial carcinoma,44244,2.0,264,0.8944970214712938,True,uterine,not_leaf,True,,,False,315374,10067,0.013026566144873433,0.9200290911152458,0.8689649518273419,8,15,0.056818181818181816,35,10331,uterine cancer,44244,uterine cancer,under a split key
48496,endometrial undifferentiated carcinoma,44244,3.0,55,0.9709811837646888,False,uterine,not_leaf,True,,,False,11603,6305,0.015891685466900653,1.0021288872798142,0.9398334802495636,9,14,0.2545454545454545,24,6360,uterine cancer,44244,uterine cancer,under a split key
48490,endometrial clear cell adenocarcinoma,44244,4.0,108,0.939501597284616,True,uterine,leaf,True,,,False,54367,7420,0.01598129928364769,0.9708249438805656,0.9081782506886666,8,14,0.12962962962962962,25,7528,uterine cancer,44244,uterine cancer,under a split key
46540,endometrial mixed adenocarcinoma,44244,4.0,80,0.9325824873096448,True,uterine,not_leaf,True,,,False,43615,7486,0.019489037341557887,0.9707810004990981,0.8943839741201912,8,11,0.1375,20,7566,uterine cancer,44244,uterine cancer,under a split key
