act3_family,disease_a,disease_b,depth_a,depth_b,depth_gap,role_a,role_b,shared_genes,all_overlap,novel_overlap,jaccard_top50,near_duplicate,pair_kind
breast,breast cancer,breast carcinoma,0.0,1.0,1.0,parent,parent,17,17,4,0.2048,False,ancestor_descendant
breast,breast cancer,breast carcinoma by gene expression profile,0.0,2.0,2.0,parent,parent,15,15,2,0.1765,False,ancestor_descendant
breast,breast cancer,female breast carcinoma,0.0,2.0,2.0,parent,parent,15,15,2,0.1765,False,ancestor_descendant
breast,breast cancer,invasive breast carcinoma,0.0,2.0,2.0,parent,parent,15,15,7,0.1765,False,ancestor_descendant
breast,breast cancer,breast ductal adenocarcinoma,0.0,3.0,3.0,parent,parent,13,13,3,0.1494,False,ancestor_descendant
breast,breast cancer,breast lobular carcinoma,0.0,3.0,3.0,parent,parent,14,14,1,0.1628,False,ancestor_descendant
breast,breast cancer,metaplastic breast carcinoma,0.0,3.0,3.0,parent,parent,14,14,4,0.1628,False,ancestor_descendant
breast,breast cancer,mixed lobular and ductal breast carcinoma,0.0,3.0,3.0,parent,parent,14,14,4,0.1628,False,ancestor_descendant
breast,breast cancer,luminal A breast carcinoma,0.0,4.0,4.0,parent,leaf,21,21,11,0.2658,False,ancestor_descendant
breast,breast cancer,luminal B breast carcinoma,0.0,4.0,4.0,parent,leaf,20,20,5,0.25,False,ancestor_descendant
breast,breast cancer,triple-negative breast carcinoma,0.0,4.0,4.0,parent,leaf,17,17,10,0.2048,False,ancestor_descendant
breast,breast carcinoma,breast carcinoma by gene expression profile,1.0,2.0,1.0,parent,parent,37,37,26,0.5873,False,ancestor_descendant
breast,breast carcinoma,female breast carcinoma,1.0,2.0,1.0,parent,parent,38,38,31,0.6129,True,ancestor_descendant
breast,breast carcinoma,invasive breast carcinoma,1.0,2.0,1.0,parent,parent,36,36,9,0.5625,False,ancestor_descendant
breast,breast carcinoma,breast ductal adenocarcinoma,1.0,3.0,2.0,parent,parent,41,41,38,0.6949,True,ancestor_descendant
breast,breast carcinoma,breast lobular carcinoma,1.0,3.0,2.0,parent,parent,38,38,29,0.6129,True,ancestor_descendant
breast,breast carcinoma,metaplastic breast carcinoma,1.0,3.0,2.0,parent,parent,37,37,13,0.5873,False,ancestor_descendant
breast,breast carcinoma,mixed lobular and ductal breast carcinoma,1.0,3.0,2.0,parent,parent,35,35,13,0.5385,False,ancestor_descendant
breast,breast carcinoma,luminal A breast carcinoma,1.0,4.0,3.0,parent,leaf,26,26,9,0.3514,False,ancestor_descendant
breast,breast carcinoma,luminal B breast carcinoma,1.0,4.0,3.0,parent,leaf,31,31,6,0.4493,False,ancestor_descendant
breast,breast carcinoma,triple-negative breast carcinoma,1.0,4.0,3.0,parent,leaf,15,15,2,0.1765,False,ancestor_descendant
breast,breast adenocarcinoma,breast cancer,2.0,0.0,2.0,parent,parent,13,13,5,0.1494,False,ancestor_descendant
breast,breast adenocarcinoma,breast carcinoma,2.0,1.0,1.0,parent,parent,31,31,6,0.4493,False,ancestor_descendant
breast,breast adenocarcinoma,breast carcinoma by gene expression profile,2.0,2.0,0.0,parent,parent,26,26,9,0.3514,False,sibling
breast,breast adenocarcinoma,female breast carcinoma,2.0,2.0,0.0,parent,parent,26,26,8,0.3514,False,sibling
breast,breast adenocarcinoma,invasive breast carcinoma,2.0,2.0,0.0,parent,parent,29,29,20,0.4085,False,sibling
breast,breast carcinoma by gene expression profile,female breast carcinoma,2.0,2.0,0.0,parent,parent,43,43,30,0.7544,True,sibling
breast,breast carcinoma by gene expression profile,invasive breast carcinoma,2.0,2.0,0.0,parent,parent,36,36,14,0.5625,False,sibling
breast,female breast carcinoma,invasive breast carcinoma,2.0,2.0,0.0,parent,parent,36,36,10,0.5625,False,sibling
breast,breast adenocarcinoma,breast ductal adenocarcinoma,2.0,3.0,1.0,parent,parent,29,29,6,0.4085,False,ancestor_descendant
breast,breast adenocarcinoma,breast lobular carcinoma,2.0,3.0,1.0,parent,parent,27,27,9,0.3699,False,ancestor_descendant
breast,breast adenocarcinoma,metaplastic breast carcinoma,2.0,3.0,1.0,parent,parent,31,31,12,0.4493,False,ancestor_descendant
breast,breast adenocarcinoma,mixed lobular and ductal breast carcinoma,2.0,3.0,1.0,parent,parent,31,31,21,0.4493,False,ancestor_descendant
breast,breast carcinoma by gene expression profile,breast ductal adenocarcinoma,2.0,3.0,1.0,parent,parent,41,41,28,0.6949,True,ancestor_descendant
breast,breast carcinoma by gene expression profile,breast lobular carcinoma,2.0,3.0,1.0,parent,parent,43,43,32,0.7544,True,ancestor_descendant
breast,breast carcinoma by gene expression profile,metaplastic breast carcinoma,2.0,3.0,1.0,parent,parent,41,41,23,0.6949,True,ancestor_descendant
breast,breast carcinoma by gene expression profile,mixed lobular and ductal breast carcinoma,2.0,3.0,1.0,parent,parent,39,39,23,0.6393,True,ancestor_descendant
breast,female breast carcinoma,metaplastic breast carcinoma,2.0,3.0,1.0,parent,parent,41,41,17,0.6949,True,ancestor_descendant
breast,female breast carcinoma,mixed lobular and ductal breast carcinoma,2.0,3.0,1.0,parent,parent,36,36,16,0.5625,False,ancestor_descendant
breast,invasive breast carcinoma,metaplastic breast carcinoma,2.0,3.0,1.0,parent,parent,35,35,19,0.5385,False,ancestor_descendant
breast,invasive breast carcinoma,mixed lobular and ductal breast carcinoma,2.0,3.0,1.0,parent,parent,34,34,24,0.5152,False,ancestor_descendant
breast,breast adenocarcinoma,luminal A breast carcinoma,2.0,4.0,2.0,parent,leaf,21,21,15,0.2658,False,ancestor_descendant
breast,breast adenocarcinoma,luminal B breast carcinoma,2.0,4.0,2.0,parent,leaf,26,26,24,0.3514,False,ancestor_descendant
breast,breast adenocarcinoma,triple-negative breast carcinoma,2.0,4.0,2.0,parent,leaf,13,13,9,0.1494,False,ancestor_descendant
breast,breast carcinoma by gene expression profile,luminal A breast carcinoma,2.0,4.0,2.0,parent,leaf,25,25,6,0.3333,False,ancestor_descendant
breast,breast carcinoma by gene expression profile,luminal B breast carcinoma,2.0,4.0,2.0,parent,leaf,35,35,9,0.5385,False,ancestor_descendant
breast,breast carcinoma by gene expression profile,triple-negative breast carcinoma,2.0,4.0,2.0,parent,leaf,10,10,4,0.1111,False,ancestor_descendant
breast,female breast carcinoma,luminal A breast carcinoma,2.0,4.0,2.0,parent,leaf,26,26,7,0.3514,False,ancestor_descendant
breast,female breast carcinoma,luminal B breast carcinoma,2.0,4.0,2.0,parent,leaf,34,34,8,0.5152,False,ancestor_descendant
breast,female breast carcinoma,triple-negative breast carcinoma,2.0,4.0,2.0,parent,leaf,12,12,3,0.1364,False,ancestor_descendant
breast,invasive breast carcinoma,luminal A breast carcinoma,2.0,4.0,2.0,parent,leaf,26,26,16,0.3514,False,ancestor_descendant
breast,invasive breast carcinoma,luminal B breast carcinoma,2.0,4.0,2.0,parent,leaf,34,34,23,0.5152,False,ancestor_descendant
breast,invasive breast carcinoma,triple-negative breast carcinoma,2.0,4.0,2.0,parent,leaf,11,11,13,0.1236,False,ancestor_descendant
breast,HER2 positive breast carcinoma,breast cancer,3.0,0.0,3.0,leaf,parent,14,14,1,0.1628,False,ancestor_descendant
breast,adenoid cystic breast carcinoma,breast cancer,3.0,0.0,3.0,parent,parent,11,11,6,0.1236,False,ancestor_descendant
breast,HER2 positive breast carcinoma,breast carcinoma,3.0,1.0,2.0,leaf,parent,40,40,33,0.6667,True,ancestor_descendant
breast,adenoid cystic breast carcinoma,breast carcinoma,3.0,1.0,2.0,parent,parent,28,28,3,0.3889,False,ancestor_descendant
breast,HER2 positive breast carcinoma,breast adenocarcinoma,3.0,2.0,1.0,leaf,parent,28,28,8,0.3889,False,ancestor_descendant
breast,HER2 positive breast carcinoma,breast carcinoma by gene expression profile,3.0,2.0,1.0,leaf,parent,42,42,28,0.7241,True,ancestor_descendant
breast,HER2 positive breast carcinoma,female breast carcinoma,3.0,2.0,1.0,leaf,parent,46,46,35,0.8519,True,ancestor_descendant
breast,HER2 positive breast carcinoma,invasive breast carcinoma,3.0,2.0,1.0,leaf,parent,37,37,11,0.5873,False,ancestor_descendant
breast,adenoid cystic breast carcinoma,breast adenocarcinoma,3.0,2.0,1.0,parent,parent,28,28,19,0.3889,False,ancestor_descendant
breast,adenoid cystic breast carcinoma,breast carcinoma by gene expression profile,3.0,2.0,1.0,parent,parent,32,32,8,0.4706,False,ancestor_descendant
breast,adenoid cystic breast carcinoma,female breast carcinoma,3.0,2.0,1.0,parent,parent,31,31,4,0.4493,False,ancestor_descendant
breast,adenoid cystic breast carcinoma,invasive breast carcinoma,3.0,2.0,1.0,parent,parent,27,27,18,0.3699,False,ancestor_descendant
