disease_family_id,anchor_name,n_terms,n_usable,total_pos,median_auc,best_auc,worst_auc
43521,hematologic cancer,29,20,4673,0.9113,0.9481,0.794
49721,breast cancer,19,14,4818,0.9169,0.9511,0.7072
52236,lung cancer,17,14,4706,0.9122,0.9406,0.7797
44244,uterine cancer,8,8,1286,0.9294,0.971,0.8664
36637,stomach cancer,7,6,2129,0.9152,0.9469,0.7602
47490,sarcoma,13,5,1434,0.9228,0.9521,0.8431
42673,bone cancer,9,5,819,0.9204,0.9516,0.7671
47155,salivary gland cancer,11,4,709,0.9301,0.9599,0.6649
44484,cervical cancer,5,4,1264,0.9242,0.9425,0.6589
37534,urinary bladder cancer,5,3,1064,0.9416,0.9558,0.8822
42469,vascular cancer,3,3,645,0.9209,0.9282,0.9032
53819,pancreatic cancer,6,3,1526,0.9194,0.9739,0.9066
44406,skin cancer,5,3,532,0.916,0.962,0.7292
47733,gallbladder cancer,3,2,715,0.9333,0.9467,0.8916
43541,larynx cancer,3,2,324,0.9248,0.9253,0.8032
48750,rectum cancer,3,2,749,0.9195,0.9477,0.8941
49941,esophageal cancer,4,2,1084,0.9171,0.9404,0.8765
48577,malignant mesothelioma,4,2,262,0.8986,0.93,0.8618
47407,asthma,3,2,627,0.8098,0.8831,0.6965
44119,thymus cancer,3,1,125,0.9379,0.9423,0.8284
39719,brain cancer,3,1,149,0.9123,0.962,0.7106
43284,anemia,9,1,622,0.7561,0.9849,0.6518
47454,germ cell cancer,5,0,144,0.9419,0.9744,0.8425
47663,atherosclerosis,3,0,40,0.8789,0.9743,0.8423
47444,epilepsy syndrome,7,0,151,0.8473,0.8867,0.7586
